matvec_fewstores_ui10_uk1 greedy 10 1 	matvec_fewstores_ui10_uk1 0	matvec_fewstores_ui10_uk1 11	max_reg 
matvec_fewstores_ui10_uk2 greedy 10 2 	matvec_fewstores_ui10_uk2 0	matvec_fewstores_ui10_uk2 12	max_reg 
matvec_fewstores_ui10_uk3 greedy 10 3 	matvec_fewstores_ui10_uk3 0	matvec_fewstores_ui10_uk3 13	max_reg 
matvec_fewstores_ui11_uk1 greedy 11 1 	matvec_fewstores_ui11_uk1 0	matvec_fewstores_ui11_uk1 12	max_reg 
matvec_fewstores_ui11_uk2 greedy 11 2 	matvec_fewstores_ui11_uk2 0	matvec_fewstores_ui11_uk2 13	max_reg 
matvec_fewstores_ui12_uk1 greedy 12 1 	matvec_fewstores_ui12_uk1 0	matvec_fewstores_ui12_uk1 13	max_reg 
matvec_fewstores_ui12_uk2 greedy 12 2 	matvec_fewstores_ui12_uk2 0	matvec_fewstores_ui12_uk2 14	max_reg 
matvec_fewstores_ui13_uk1 greedy 13 1 	matvec_fewstores_ui13_uk1 0	matvec_fewstores_ui13_uk1 14	max_reg 
matvec_fewstores_ui13_uk2 greedy 13 2 	matvec_fewstores_ui13_uk2 0	matvec_fewstores_ui13_uk2 15	max_reg 
matvec_fewstores_ui14_uk1 greedy 14 1 	matvec_fewstores_ui14_uk1 0	matvec_fewstores_ui14_uk1 15	max_reg 
matvec_fewstores_ui14_uk2 greedy 14 2 	matvec_fewstores_ui14_uk2 0	matvec_fewstores_ui14_uk2 16	max_reg 
matvec_fewstores_ui15_uk1 greedy 15 1 	matvec_fewstores_ui15_uk1 0	matvec_fewstores_ui15_uk1 16	max_reg 
matvec_fewstores_ui15_uk2 greedy 15 2 	matvec_fewstores_ui15_uk2 0	matvec_fewstores_ui15_uk2 16	max_reg 
matvec_fewstores_ui1_uk10 greedy 1 10 0.728787	matvec_fewstores_ui1_uk10 0	matvec_fewstores_ui1_uk10 11	max_reg 21
matvec_fewstores_ui1_uk11 greedy 1 11 0.74621	matvec_fewstores_ui1_uk11 0	matvec_fewstores_ui1_uk11 12	max_reg 23
matvec_fewstores_ui1_uk12 greedy 1 12 0.776889	matvec_fewstores_ui1_uk12 0	matvec_fewstores_ui1_uk12 13	max_reg 25
matvec_fewstores_ui1_uk13 greedy 1 13 0.748535	matvec_fewstores_ui1_uk13 0	matvec_fewstores_ui1_uk13 14	max_reg 27
matvec_fewstores_ui1_uk14 greedy 1 14 0.692687	matvec_fewstores_ui1_uk14 0	matvec_fewstores_ui1_uk14 15	max_reg 29
matvec_fewstores_ui1_uk15 greedy 1 15 0.76493	matvec_fewstores_ui1_uk15 0	matvec_fewstores_ui1_uk15 16	max_reg 31
matvec_fewstores_ui1_uk1 greedy 1 1 0.691074	matvec_fewstores_ui1_uk1 0	matvec_fewstores_ui1_uk1 2	max_reg 3
matvec_fewstores_ui1_uk2 greedy 1 2 0.690267	matvec_fewstores_ui1_uk2 0	matvec_fewstores_ui1_uk2 3	max_reg 5
matvec_fewstores_ui1_uk3 greedy 1 3 0.738567	matvec_fewstores_ui1_uk3 0	matvec_fewstores_ui1_uk3 4	max_reg 7
matvec_fewstores_ui1_uk4 greedy 1 4 0.681878	matvec_fewstores_ui1_uk4 0	matvec_fewstores_ui1_uk4 5	max_reg 9
matvec_fewstores_ui1_uk5 greedy 1 5 0.710618	matvec_fewstores_ui1_uk5 0	matvec_fewstores_ui1_uk5 6	max_reg 11
matvec_fewstores_ui1_uk6 greedy 1 6 0.731761	matvec_fewstores_ui1_uk6 0	matvec_fewstores_ui1_uk6 7	max_reg 13
matvec_fewstores_ui1_uk7 greedy 1 7 0.719765	matvec_fewstores_ui1_uk7 0	matvec_fewstores_ui1_uk7 8	max_reg 15
matvec_fewstores_ui1_uk8 greedy 1 8 0.671037	matvec_fewstores_ui1_uk8 0	matvec_fewstores_ui1_uk8 9	max_reg 17
matvec_fewstores_ui1_uk9 greedy 1 9 0.702166	matvec_fewstores_ui1_uk9 0	matvec_fewstores_ui1_uk9 10	max_reg 19
matvec_fewstores_ui2_uk10 greedy 2 10 1.38592	matvec_fewstores_ui2_uk10 0	matvec_fewstores_ui2_uk10 12	max_reg 32
matvec_fewstores_ui2_uk11 greedy 2 11 1.39305	matvec_fewstores_ui2_uk11 0	matvec_fewstores_ui2_uk11 13	max_reg 35
matvec_fewstores_ui2_uk12 greedy 2 12 1.41022	matvec_fewstores_ui2_uk12 0	matvec_fewstores_ui2_uk12 14	max_reg 38
matvec_fewstores_ui2_uk13 greedy 2 13 1.37995	matvec_fewstores_ui2_uk13 0	matvec_fewstores_ui2_uk13 15	max_reg 41
matvec_fewstores_ui2_uk14 greedy 2 14 1.25029	matvec_fewstores_ui2_uk14 0	matvec_fewstores_ui2_uk14 16	max_reg 44
matvec_fewstores_ui2_uk15 greedy 2 15 1.71395	matvec_fewstores_ui2_uk15 0	matvec_fewstores_ui2_uk15 3	max_reg 47
matvec_fewstores_ui2_uk1 greedy 2 1 1.41339	matvec_fewstores_ui2_uk1 0	matvec_fewstores_ui2_uk1 3	max_reg 5
matvec_fewstores_ui2_uk2 greedy 2 2 1.34394	matvec_fewstores_ui2_uk2 0	matvec_fewstores_ui2_uk2 4	max_reg 8
matvec_fewstores_ui2_uk3 greedy 2 3 1.60426	matvec_fewstores_ui2_uk3 0	matvec_fewstores_ui2_uk3 5	max_reg 11
matvec_fewstores_ui2_uk4 greedy 2 4 1.34149	matvec_fewstores_ui2_uk4 0	matvec_fewstores_ui2_uk4 6	max_reg 14
matvec_fewstores_ui2_uk5 greedy 2 5 1.66117	matvec_fewstores_ui2_uk5 0	matvec_fewstores_ui2_uk5 7	max_reg 17
matvec_fewstores_ui2_uk6 greedy 2 6 1.60271	matvec_fewstores_ui2_uk6 0	matvec_fewstores_ui2_uk6 8	max_reg 20
matvec_fewstores_ui2_uk7 greedy 2 7 1.43681	matvec_fewstores_ui2_uk7 0	matvec_fewstores_ui2_uk7 9	max_reg 23
matvec_fewstores_ui2_uk8 greedy 2 8 1.28334	matvec_fewstores_ui2_uk8 0	matvec_fewstores_ui2_uk8 10	max_reg 26
matvec_fewstores_ui2_uk9 greedy 2 9 1.37107	matvec_fewstores_ui2_uk9 0	matvec_fewstores_ui2_uk9 11	max_reg 29
matvec_fewstores_ui3_uk10 greedy 3 10 4.19997	matvec_fewstores_ui3_uk10 0	matvec_fewstores_ui3_uk10 13	max_reg 43
matvec_fewstores_ui3_uk1 greedy 3 1 	matvec_fewstores_ui3_uk1 0	matvec_fewstores_ui3_uk1 4	max_reg 
matvec_fewstores_ui3_uk2 greedy 3 2 	matvec_fewstores_ui3_uk2 0	matvec_fewstores_ui3_uk2 5	max_reg 
matvec_fewstores_ui3_uk3 greedy 3 3 2.79854	matvec_fewstores_ui3_uk3 0	matvec_fewstores_ui3_uk3 6	max_reg 15
matvec_fewstores_ui3_uk4 greedy 3 4 	matvec_fewstores_ui3_uk4 0	matvec_fewstores_ui3_uk4 7	max_reg 
matvec_fewstores_ui3_uk5 greedy 3 5 3.27981	matvec_fewstores_ui3_uk5 0	matvec_fewstores_ui3_uk5 8	max_reg 23
matvec_fewstores_ui3_uk6 greedy 3 6 2.65176	matvec_fewstores_ui3_uk6 0	matvec_fewstores_ui3_uk6 9	max_reg 27
matvec_fewstores_ui3_uk7 greedy 3 7 2.7284	matvec_fewstores_ui3_uk7 0	matvec_fewstores_ui3_uk7 10	max_reg 31
matvec_fewstores_ui3_uk8 greedy 3 8 	matvec_fewstores_ui3_uk8 0	matvec_fewstores_ui3_uk8 11	max_reg 
matvec_fewstores_ui3_uk9 greedy 3 9 2.55136	matvec_fewstores_ui3_uk9 0	matvec_fewstores_ui3_uk9 12	max_reg 39
matvec_fewstores_ui4_uk1 greedy 4 1 1.98652	matvec_fewstores_ui4_uk1 0	matvec_fewstores_ui4_uk1 5	max_reg 9
matvec_fewstores_ui4_uk2 greedy 4 2 1.85546	matvec_fewstores_ui4_uk2 0	matvec_fewstores_ui4_uk2 6	max_reg 14
matvec_fewstores_ui4_uk3 greedy 4 3 2.23439	matvec_fewstores_ui4_uk3 0	matvec_fewstores_ui4_uk3 7	max_reg 19
matvec_fewstores_ui4_uk4 greedy 4 4 1.86338	matvec_fewstores_ui4_uk4 0	matvec_fewstores_ui4_uk4 8	max_reg 24
matvec_fewstores_ui4_uk5 greedy 4 5 2.41665	matvec_fewstores_ui4_uk5 0	matvec_fewstores_ui4_uk5 9	max_reg 29
matvec_fewstores_ui4_uk6 greedy 4 6 2.40481	matvec_fewstores_ui4_uk6 0	matvec_fewstores_ui4_uk6 10	max_reg 34
matvec_fewstores_ui4_uk7 greedy 4 7 2.34303	matvec_fewstores_ui4_uk7 0	matvec_fewstores_ui4_uk7 11	max_reg 39
matvec_fewstores_ui4_uk8 greedy 4 8 1.78154	matvec_fewstores_ui4_uk8 0	matvec_fewstores_ui4_uk8 12	max_reg 44
matvec_fewstores_ui5_uk1 greedy 5 1 	matvec_fewstores_ui5_uk1 0	matvec_fewstores_ui5_uk1 6	max_reg 
matvec_fewstores_ui5_uk2 greedy 5 2 	matvec_fewstores_ui5_uk2 0	matvec_fewstores_ui5_uk2 7	max_reg 
matvec_fewstores_ui5_uk3 greedy 5 3 	matvec_fewstores_ui5_uk3 0	matvec_fewstores_ui5_uk3 8	max_reg 
matvec_fewstores_ui5_uk4 greedy 5 4 	matvec_fewstores_ui5_uk4 0	matvec_fewstores_ui5_uk4 9	max_reg 
matvec_fewstores_ui5_uk5 greedy 5 5 3.07269	matvec_fewstores_ui5_uk5 0	matvec_fewstores_ui5_uk5 10	max_reg 35
matvec_fewstores_ui5_uk6 greedy 5 6 	matvec_fewstores_ui5_uk6 0	matvec_fewstores_ui5_uk6 11	max_reg 
matvec_fewstores_ui6_uk1 greedy 6 1 	matvec_fewstores_ui6_uk1 0	matvec_fewstores_ui6_uk1 7	max_reg 
matvec_fewstores_ui6_uk2 greedy 6 2 	matvec_fewstores_ui6_uk2 0	matvec_fewstores_ui6_uk2 8	max_reg 
matvec_fewstores_ui6_uk3 greedy 6 3 2.67833	matvec_fewstores_ui6_uk3 0	matvec_fewstores_ui6_uk3 9	max_reg 27
matvec_fewstores_ui6_uk4 greedy 6 4 	matvec_fewstores_ui6_uk4 0	matvec_fewstores_ui6_uk4 10	max_reg 
