tiledgemm_ui1_uk1_uj1 greedy 1 1 1 1.80129	tiledgemm_ui1_uk1_uj1 0	tiledgemm_ui1_uk1_uj1 2	max_reg 3
tiledgemm_ui1_uk1_uj2 greedy 1 1 2 3.33515	tiledgemm_ui1_uk1_uj2 0	tiledgemm_ui1_uk1_uj2 3	max_reg 5
tiledgemm_ui1_uk1_uj3 greedy 1 1 3 4.7152	tiledgemm_ui1_uk1_uj3 0	tiledgemm_ui1_uk1_uj3 4	max_reg 7
tiledgemm_ui1_uk1_uj4 greedy 1 1 4 4.77232	tiledgemm_ui1_uk1_uj4 0	tiledgemm_ui1_uk1_uj4 5	max_reg 9
tiledgemm_ui1_uk1_uj5 greedy 1 1 5 3.70774	tiledgemm_ui1_uk1_uj5 0	tiledgemm_ui1_uk1_uj5 6	max_reg 11
tiledgemm_ui1_uk1_uj6 greedy 1 1 6 4.01063	tiledgemm_ui1_uk1_uj6 0	tiledgemm_ui1_uk1_uj6 7	max_reg 13
tiledgemm_ui1_uk2_uj1 greedy 1 2 1 1.44977	tiledgemm_ui1_uk2_uj1 0	tiledgemm_ui1_uk2_uj1 3	max_reg 5
tiledgemm_ui1_uk2_uj2 greedy 1 2 2 3.34412	tiledgemm_ui1_uk2_uj2 0	tiledgemm_ui1_uk2_uj2 4	max_reg 8
tiledgemm_ui1_uk2_uj3 greedy 1 2 3 4.01417	tiledgemm_ui1_uk2_uj3 0	tiledgemm_ui1_uk2_uj3 5	max_reg 11
tiledgemm_ui1_uk2_uj4 greedy 1 2 4 3.95618	tiledgemm_ui1_uk2_uj4 0	tiledgemm_ui1_uk2_uj4 6	max_reg 14
tiledgemm_ui1_uk2_uj5 greedy 1 2 5 3.94455	tiledgemm_ui1_uk2_uj5 0	tiledgemm_ui1_uk2_uj5 7	max_reg 17
tiledgemm_ui1_uk2_uj6 greedy 1 2 6 5.08283	tiledgemm_ui1_uk2_uj6 0	tiledgemm_ui1_uk2_uj6 8	max_reg 20
tiledgemm_ui1_uk3_uj1 greedy 1 3 1 1.58658	tiledgemm_ui1_uk3_uj1 0	tiledgemm_ui1_uk3_uj1 4	max_reg 7
tiledgemm_ui1_uk3_uj2 greedy 1 3 2 3.25015	tiledgemm_ui1_uk3_uj2 0	tiledgemm_ui1_uk3_uj2 5	max_reg 11
tiledgemm_ui1_uk3_uj3 greedy 1 3 3 4.03279	tiledgemm_ui1_uk3_uj3 0	tiledgemm_ui1_uk3_uj3 6	max_reg 15
tiledgemm_ui1_uk3_uj4 greedy 1 3 4 4.95466	tiledgemm_ui1_uk3_uj4 0	tiledgemm_ui1_uk3_uj4 7	max_reg 19
tiledgemm_ui1_uk3_uj5 greedy 1 3 5 4.06062	tiledgemm_ui1_uk3_uj5 0	tiledgemm_ui1_uk3_uj5 8	max_reg 23
tiledgemm_ui1_uk3_uj6 greedy 1 3 6 4.25663	tiledgemm_ui1_uk3_uj6 0	tiledgemm_ui1_uk3_uj6 9	max_reg 27
tiledgemm_ui1_uk4_uj1 greedy 1 4 1 1.63787	tiledgemm_ui1_uk4_uj1 0	tiledgemm_ui1_uk4_uj1 5	max_reg 9
tiledgemm_ui1_uk4_uj2 greedy 1 4 2 3.34525	tiledgemm_ui1_uk4_uj2 0	tiledgemm_ui1_uk4_uj2 6	max_reg 14
tiledgemm_ui1_uk4_uj3 greedy 1 4 3 4.78389	tiledgemm_ui1_uk4_uj3 0	tiledgemm_ui1_uk4_uj3 7	max_reg 19
tiledgemm_ui1_uk4_uj4 greedy 1 4 4 4.94848	tiledgemm_ui1_uk4_uj4 0	tiledgemm_ui1_uk4_uj4 8	max_reg 24
tiledgemm_ui1_uk4_uj5 greedy 1 4 5 4.0114	tiledgemm_ui1_uk4_uj5 0	tiledgemm_ui1_uk4_uj5 9	max_reg 29
tiledgemm_ui1_uk5_uj1 greedy 1 5 1 1.67235	tiledgemm_ui1_uk5_uj1 0	tiledgemm_ui1_uk5_uj1 6	max_reg 11
tiledgemm_ui1_uk5_uj2 greedy 1 5 2 3.15944	tiledgemm_ui1_uk5_uj2 0	tiledgemm_ui1_uk5_uj2 7	max_reg 17
tiledgemm_ui1_uk5_uj3 greedy 1 5 3 3.77572	tiledgemm_ui1_uk5_uj3 0	tiledgemm_ui1_uk5_uj3 7	max_reg 23
tiledgemm_ui1_uk5_uj4 greedy 1 5 4 4.77644	tiledgemm_ui1_uk5_uj4 0	tiledgemm_ui1_uk5_uj4 8	max_reg 29
tiledgemm_ui1_uk6_uj1 greedy 1 6 1 1.68712	tiledgemm_ui1_uk6_uj1 0	tiledgemm_ui1_uk6_uj1 7	max_reg 13
tiledgemm_ui1_uk6_uj2 greedy 1 6 2 3.33154	tiledgemm_ui1_uk6_uj2 0	tiledgemm_ui1_uk6_uj2 6	max_reg 20
tiledgemm_ui1_uk6_uj3 greedy 1 6 3 4.63	tiledgemm_ui1_uk6_uj3 0	tiledgemm_ui1_uk6_uj3 8	max_reg 27
tiledgemm_ui2_uk1_uj1 greedy 2 1 1 3.22341	tiledgemm_ui2_uk1_uj1 0	tiledgemm_ui2_uk1_uj1 5	max_reg 5
tiledgemm_ui2_uk1_uj2 greedy 2 1 2 5.01585	tiledgemm_ui2_uk1_uj2 0	tiledgemm_ui2_uk1_uj2 8	max_reg 8
tiledgemm_ui2_uk1_uj3 greedy 2 1 3 6.53336	tiledgemm_ui2_uk1_uj3 0	tiledgemm_ui2_uk1_uj3 11	max_reg 11
tiledgemm_ui2_uk1_uj4 greedy 2 1 4 5.74465	tiledgemm_ui2_uk1_uj4 0	tiledgemm_ui2_uk1_uj4 14	max_reg 14
tiledgemm_ui2_uk1_uj5 greedy 2 1 5 5.15632	tiledgemm_ui2_uk1_uj5 0	tiledgemm_ui2_uk1_uj5 16	max_reg 17
tiledgemm_ui2_uk1_uj6 greedy 2 1 6 5.36423	tiledgemm_ui2_uk1_uj6 3	tiledgemm_ui2_uk1_uj6 16	max_reg 20
tiledgemm_ui2_uk2_uj1 greedy 2 2 1 2.42905	tiledgemm_ui2_uk2_uj1 0	tiledgemm_ui2_uk2_uj1 8	max_reg 8
tiledgemm_ui2_uk2_uj2 greedy 2 2 2 4.70239	tiledgemm_ui2_uk2_uj2 0	tiledgemm_ui2_uk2_uj2 12	max_reg 12
tiledgemm_ui2_uk2_uj3 greedy 2 2 3 5.31925	tiledgemm_ui2_uk2_uj3 0	tiledgemm_ui2_uk2_uj3 16	max_reg 16
tiledgemm_ui2_uk2_uj4 greedy 2 2 4 5.54545	tiledgemm_ui2_uk2_uj4 0	tiledgemm_ui2_uk2_uj4 15	max_reg 20
tiledgemm_ui2_uk2_uj5 greedy 2 2 5 5.4333	tiledgemm_ui2_uk2_uj5 0	tiledgemm_ui2_uk2_uj5 16	max_reg 24
tiledgemm_ui2_uk2_uj6 greedy 2 2 6 3.9926	tiledgemm_ui2_uk2_uj6 11	tiledgemm_ui2_uk2_uj6 16	max_reg 28
tiledgemm_ui2_uk3_uj1 greedy 2 3 1 2.71019	tiledgemm_ui2_uk3_uj1 0	tiledgemm_ui2_uk3_uj1 11	max_reg 11
tiledgemm_ui2_uk3_uj2 greedy 2 3 2 5.13391	tiledgemm_ui2_uk3_uj2 0	tiledgemm_ui2_uk3_uj2 16	max_reg 16
tiledgemm_ui2_uk3_uj3 greedy 2 3 3 5.37752	tiledgemm_ui2_uk3_uj3 0	tiledgemm_ui2_uk3_uj3 11	max_reg 21
tiledgemm_ui2_uk3_uj4 greedy 2 3 4 6.62924	tiledgemm_ui2_uk3_uj4 0	tiledgemm_ui2_uk3_uj4 16	max_reg 26
tiledgemm_ui2_uk3_uj5 greedy 2 3 5 5.47111	tiledgemm_ui2_uk3_uj5 2	tiledgemm_ui2_uk3_uj5 16	max_reg 31
tiledgemm_ui2_uk4_uj1 greedy 2 4 1 2.78811	tiledgemm_ui2_uk4_uj1 0	tiledgemm_ui2_uk4_uj1 14	max_reg 14
tiledgemm_ui2_uk4_uj2 greedy 2 4 2 5.24156	tiledgemm_ui2_uk4_uj2 0	tiledgemm_ui2_uk4_uj2 9	max_reg 20
tiledgemm_ui2_uk4_uj3 greedy 2 4 3 5.45555	tiledgemm_ui2_uk4_uj3 0	tiledgemm_ui2_uk4_uj3 11	max_reg 26
tiledgemm_ui2_uk4_uj4 greedy 2 4 4 5.72481	tiledgemm_ui2_uk4_uj4 0	tiledgemm_ui2_uk4_uj4 15	max_reg 32
tiledgemm_ui2_uk5_uj1 greedy 2 5 1 2.97518	tiledgemm_ui2_uk5_uj1 0	tiledgemm_ui2_uk5_uj1 7	max_reg 17
tiledgemm_ui2_uk5_uj2 greedy 2 5 2 4.97611	tiledgemm_ui2_uk5_uj2 0	tiledgemm_ui2_uk5_uj2 12	max_reg 24
tiledgemm_ui2_uk5_uj3 greedy 2 5 3 4.92658	tiledgemm_ui2_uk5_uj3 2	tiledgemm_ui2_uk5_uj3 16	max_reg 31
tiledgemm_ui2_uk6_uj1 greedy 2 6 1 2.87239	tiledgemm_ui2_uk6_uj1 0	tiledgemm_ui2_uk6_uj1 8	max_reg 20
tiledgemm_ui2_uk6_uj2 greedy 2 6 2 4.97328	tiledgemm_ui2_uk6_uj2 0	tiledgemm_ui2_uk6_uj2 14	max_reg 28
tiledgemm_ui3_uk1_uj1 greedy 3 1 1 4.31138	tiledgemm_ui3_uk1_uj1 0	tiledgemm_ui3_uk1_uj1 7	max_reg 7
tiledgemm_ui3_uk1_uj2 greedy 3 1 2 5.67521	tiledgemm_ui3_uk1_uj2 0	tiledgemm_ui3_uk1_uj2 11	max_reg 11
tiledgemm_ui3_uk1_uj3 greedy 3 1 3 5.87257	tiledgemm_ui3_uk1_uj3 0	tiledgemm_ui3_uk1_uj3 15	max_reg 15
tiledgemm_ui3_uk1_uj4 greedy 3 1 4 5.34381	tiledgemm_ui3_uk1_uj4 1	tiledgemm_ui3_uk1_uj4 16	max_reg 19
tiledgemm_ui3_uk1_uj5 greedy 3 1 5 4.11475	tiledgemm_ui3_uk1_uj5 6	tiledgemm_ui3_uk1_uj5 16	max_reg 23
tiledgemm_ui3_uk1_uj6 greedy 3 1 6 4.54231	tiledgemm_ui3_uk1_uj6 10	tiledgemm_ui3_uk1_uj6 16	max_reg 27
tiledgemm_ui3_uk2_uj1 greedy 3 2 1 3.59392	tiledgemm_ui3_uk2_uj1 0	tiledgemm_ui3_uk2_uj1 11	max_reg 11
tiledgemm_ui3_uk2_uj2 greedy 3 2 2 5.73235	tiledgemm_ui3_uk2_uj2 0	tiledgemm_ui3_uk2_uj2 16	max_reg 16
tiledgemm_ui3_uk2_uj3 greedy 3 2 3 7.5419	tiledgemm_ui3_uk2_uj3 0	tiledgemm_ui3_uk2_uj3 14	max_reg 21
tiledgemm_ui3_uk2_uj4 greedy 3 2 4 4.14003	tiledgemm_ui3_uk2_uj4 9	tiledgemm_ui3_uk2_uj4 16	max_reg 26
tiledgemm_ui3_uk2_uj5 greedy 3 2 5 4.51727	tiledgemm_ui3_uk2_uj5 10	tiledgemm_ui3_uk2_uj5 16	max_reg 31
tiledgemm_ui3_uk3_uj1 greedy 3 3 1 3.89934	tiledgemm_ui3_uk3_uj1 0	tiledgemm_ui3_uk3_uj1 15	max_reg 15
tiledgemm_ui3_uk3_uj2 greedy 3 3 2 5.68235	tiledgemm_ui3_uk3_uj2 0	tiledgemm_ui3_uk3_uj2 11	max_reg 21
tiledgemm_ui3_uk3_uj3 greedy 3 3 3 7.48881	tiledgemm_ui3_uk3_uj3 0	tiledgemm_ui3_uk3_uj3 15	max_reg 27
tiledgemm_ui3_uk4_uj1 greedy 3 4 1 4.08442	tiledgemm_ui3_uk4_uj1 0	tiledgemm_ui3_uk4_uj1 7	max_reg 19
tiledgemm_ui3_uk4_uj2 greedy 3 4 2 5.92736	tiledgemm_ui3_uk4_uj2 0	tiledgemm_ui3_uk4_uj2 11	max_reg 26
tiledgemm_ui3_uk5_uj1 greedy 3 5 1 4.25755	tiledgemm_ui3_uk5_uj1 0	tiledgemm_ui3_uk5_uj1 8	max_reg 23
tiledgemm_ui3_uk5_uj2 greedy 3 5 2 7.10266	tiledgemm_ui3_uk5_uj2 0	tiledgemm_ui3_uk5_uj2 14	max_reg 31
tiledgemm_ui3_uk6_uj1 greedy 3 6 1 4.33225	tiledgemm_ui3_uk6_uj1 0	tiledgemm_ui3_uk6_uj1 9	max_reg 27
tiledgemm_ui4_uk1_uj1 greedy 4 1 1 4.72652	tiledgemm_ui4_uk1_uj1 0	tiledgemm_ui4_uk1_uj1 9	max_reg 9
