k_10x1x1 greedy 10 1 1 28.069292	k_10x1x1.greedy 0	k_10x1x1.greedy 17	k_10x1x1 openmp 10 1 1 25.311714	k_10x1x1.openmp 0	k_10x1x1.openmp 19
k_10x1x2 greedy 10 1 2 38.119512	k_10x1x2.greedy 0	k_10x1x2.greedy 28	k_10x1x2 openmp 10 1 2 37.577127	k_10x1x2.openmp 0	k_10x1x2.openmp 27
k_10x1x3 greedy 10 1 3 19.892944	k_10x1x3.greedy 1	k_10x1x3.greedy 32	k_10x1x3 openmp 10 1 3 20.107335	k_10x1x3.openmp 0	k_10x1x3.openmp 32
k_10x1x4 greedy 10 1 4 23.292341	k_10x1x4.greedy 7	k_10x1x4.greedy 32	k_10x1x4 openmp 10 1 4 30.214339	k_10x1x4.openmp 8	k_10x1x4.openmp 32
k_10x2x1 greedy 10 2 1 30.313292	k_10x2x1.greedy 0	k_10x2x1.greedy 17	k_10x2x1 openmp 10 2 1 20.253290	k_10x2x1.openmp 0	k_10x2x1.openmp 30
k_10x2x2 greedy 10 2 2 38.289851	k_10x2x2.greedy 0	k_10x2x2.greedy 26	k_10x2x2 openmp 10 2 2 30.580681	k_10x2x2.openmp 0	k_10x2x2.openmp 29
k_10x2x3 greedy 10 2 3 26.168224	k_10x2x3.greedy 13	k_10x2x3.greedy 32	k_10x2x3 openmp 10 2 3 25.417968	k_10x2x3.openmp 19	k_10x2x3.openmp 32
k_10x3x1 greedy 10 3 1 30.633816	k_10x3x1.greedy 0	k_10x3x1.greedy 18	k_10x3x1 openmp 10 3 1 31.959710	k_10x3x1.openmp 0	k_10x3x1.openmp 18
k_10x3x2 greedy 10 3 2 39.919123	k_10x3x2.greedy 0	k_10x3x2.greedy 26	k_10x3x2 openmp 10 3 2 43.364320	k_10x3x2.openmp 0	k_10x3x2.openmp 26
k_10x4x1 greedy 10 4 1 30.462943	k_10x4x1.greedy 0	k_10x4x1.greedy 19	k_10x4x1 openmp 10 4 1 21.396607	k_10x4x1.openmp 0	k_10x4x1.openmp 20
k_11x1x1 greedy 11 1 1 29.198578	k_11x1x1.greedy 0	k_11x1x1.greedy 18	k_11x1x1 openmp 11 1 1 21.874255	k_11x1x1.openmp 0	k_11x1x1.openmp 20
