k_10x1x1 gcc 10 1 1 13.887933	k_10x1x1.gcc 0	k_10x1x1.gcc 22
k_10x1x2 gcc 10 1 2 18.808734	k_10x1x2.gcc 10	k_10x1x2.gcc 32
k_10x1x3 gcc 10 1 3 26.136622	k_10x1x3.gcc 30	k_10x1x3.gcc 32
k_10x1x4 gcc 10 1 4 18.816129	k_10x1x4.gcc 50	k_10x1x4.gcc 32
k_10x2x1 gcc 10 2 1 20.248483	k_10x2x1.gcc 0	k_10x2x1.gcc 24
k_10x2x2 gcc 10 2 2 24.795168	k_10x2x2.gcc 10	k_10x2x2.gcc 32
k_10x2x3 gcc 10 2 3 24.491426	k_10x2x3.gcc 31	k_10x2x3.gcc 32
k_10x3x1 gcc 10 3 1 22.096410	k_10x3x1.gcc 0	k_10x3x1.gcc 25
k_10x3x2 gcc 10 3 2 22.661565	k_10x3x2.gcc 12	k_10x3x2.gcc 32
k_10x4x1 gcc 10 4 1 19.074393	k_10x4x1.gcc 7	k_10x4x1.gcc 32
k_11x1x1 gcc 11 1 1 14.019423	k_11x1x1.gcc 0	k_11x1x1.gcc 24
k_11x1x2 gcc 11 1 2 20.955310	k_11x1x2.gcc 14	k_11x1x2.gcc 32
k_11x1x3 gcc 11 1 3 24.061470	k_11x1x3.gcc 36	k_11x1x3.gcc 32
k_11x1x4 gcc 11 1 4 17.491831	k_11x1x4.gcc 58	k_11x1x4.gcc 32
k_11x2x1 gcc 11 2 1 19.603082	k_11x2x1.gcc 0	k_11x2x1.gcc 25
k_11x2x2 gcc 11 2 2 24.416903	k_11x2x2.gcc 12	k_11x2x2.gcc 32
k_11x2x3 gcc 11 2 3 23.833282	k_11x2x3.gcc 36	k_11x2x3.gcc 32
k_11x3x1 gcc 11 3 1 21.127804	k_11x3x1.gcc 0	k_11x3x1.gcc 27
k_11x3x2 gcc 11 3 2 21.098446	k_11x3x2.gcc 18	k_11x3x2.gcc 32
k_11x4x1 gcc 11 4 1 20.913647	k_11x4x1.gcc 2	k_11x4x1.gcc 32
k_12x1x1 gcc 12 1 1 14.073399	k_12x1x1.gcc 0	k_12x1x1.gcc 26
k_12x1x2 gcc 12 1 2 21.316184	k_12x1x2.gcc 18	k_12x1x2.gcc 32
k_12x1x3 gcc 12 1 3 18.609639	k_12x1x3.gcc 42	k_12x1x3.gcc 32
k_12x1x4 gcc 12 1 4 16.293750	k_12x1x4.gcc 66	k_12x1x4.gcc 32
k_12x2x1 gcc 12 2 1 18.412168	k_12x2x1.gcc 0	k_12x2x1.gcc 26
k_12x2x2 gcc 12 2 2 22.825768	k_12x2x2.gcc 15	k_12x2x2.gcc 32
k_12x3x1 gcc 12 3 1 16.084001	k_12x3x1.gcc 0	k_12x3x1.gcc 32
k_12x4x1 gcc 12 4 1 20.298545	k_12x4x1.gcc 3	k_12x4x1.gcc 32
k_13x1x1 gcc 13 1 1 14.136627	k_13x1x1.gcc 0	k_13x1x1.gcc 28
k_13x1x2 gcc 13 1 2 22.937484	k_13x1x2.gcc 22	k_13x1x2.gcc 32
k_13x1x3 gcc 13 1 3 17.629848	k_13x1x3.gcc 48	k_13x1x3.gcc 32
k_13x2x1 gcc 13 2 1 20.506795	k_13x2x1.gcc 0	k_13x2x1.gcc 27
k_13x2x2 gcc 13 2 2 23.253634	k_13x2x2.gcc 20	k_13x2x2.gcc 32
k_13x3x1 gcc 13 3 1 19.418706	k_13x3x1.gcc 1	k_13x3x1.gcc 32
k_14x1x1 gcc 14 1 1 14.175218	k_14x1x1.gcc 0	k_14x1x1.gcc 30
k_14x1x2 gcc 14 1 2 25.487419	k_14x1x2.gcc 26	k_14x1x2.gcc 32
k_14x1x3 gcc 14 1 3 17.232672	k_14x1x3.gcc 54	k_14x1x3.gcc 32
k_14x2x1 gcc 14 2 1 21.529701	k_14x2x1.gcc 0	k_14x2x1.gcc 29
k_14x2x2 gcc 14 2 2 23.556202	k_14x2x2.gcc 22	k_14x2x2.gcc 32
k_14x3x1 gcc 14 3 1 17.855279	k_14x3x1.gcc 2	k_14x3x1.gcc 32
k_1x10x1 gcc 1 10 1 6.955532	k_1x10x1.gcc 0	k_1x10x1.gcc 9
k_1x10x2 gcc 1 10 2 13.433392	k_1x10x2.gcc 0	k_1x10x2.gcc 10
k_1x10x3 gcc 1 10 3 15.822826	k_1x10x3.gcc 0	k_1x10x3.gcc 25
k_1x10x4 gcc 1 10 4 19.189605	k_1x10x4.gcc 0	k_1x10x4.gcc 25
k_1x11x1 gcc 1 11 1 6.939648	k_1x11x1.gcc 0	k_1x11x1.gcc 10
k_1x11x2 gcc 1 11 2 8.762778	k_1x11x2.gcc 2	k_1x11x2.gcc 32
k_1x11x3 gcc 1 11 3 17.208729	k_1x11x3.gcc 0	k_1x11x3.gcc 25
k_1x11x4 gcc 1 11 4 20.478378	k_1x11x4.gcc 0	k_1x11x4.gcc 25
k_1x12x1 gcc 1 12 1 6.968130	k_1x12x1.gcc 0	k_1x12x1.gcc 11
k_1x12x2 gcc 1 12 2 10.438286	k_1x12x2.gcc 1	k_1x12x2.gcc 32
k_1x12x3 gcc 1 12 3 16.984128	k_1x12x3.gcc 0	k_1x12x3.gcc 25
k_1x12x4 gcc 1 12 4 20.415871	k_1x12x4.gcc 0	k_1x12x4.gcc 25
k_1x13x1 gcc 1 13 1 6.959960	k_1x13x1.gcc 0	k_1x13x1.gcc 11
k_1x13x2 gcc 1 13 2 11.143579	k_1x13x2.gcc 0	k_1x13x2.gcc 31
k_1x13x3 gcc 1 13 3 16.770341	k_1x13x3.gcc 0	k_1x13x3.gcc 25
k_1x14x1 gcc 1 14 1 6.957565	k_1x14x1.gcc 0	k_1x14x1.gcc 12
k_1x14x2 gcc 1 14 2 11.152607	k_1x14x2.gcc 0	k_1x14x2.gcc 28
k_1x14x3 gcc 1 14 3 16.967716	k_1x14x3.gcc 0	k_1x14x3.gcc 25
k_1x1x10 gcc 1 1 10 13.955791	k_1x1x10.gcc 0	k_1x1x10.gcc 22
k_1x1x11 gcc 1 1 11 14.263104	k_1x1x11.gcc 0	k_1x1x11.gcc 24
k_1x1x12 gcc 1 1 12 14.216040	k_1x1x12.gcc 0	k_1x1x12.gcc 26
k_1x1x13 gcc 1 1 13 14.343376	k_1x1x13.gcc 0	k_1x1x13.gcc 28
k_1x1x14 gcc 1 1 14 14.477775	k_1x1x14.gcc 0	k_1x1x14.gcc 30
k_1x1x1 gcc 1 1 1 2.550706	k_1x1x1.gcc 0	k_1x1x1.gcc 4
k_1x1x2 gcc 1 1 2 5.038652	k_1x1x2.gcc 0	k_1x1x2.gcc 6
k_1x1x3 gcc 1 1 3 7.372740	k_1x1x3.gcc 0	k_1x1x3.gcc 8
k_1x1x4 gcc 1 1 4 9.958492	k_1x1x4.gcc 0	k_1x1x4.gcc 10
k_1x1x5 gcc 1 1 5 11.084223	k_1x1x5.gcc 0	k_1x1x5.gcc 12
k_1x1x6 gcc 1 1 6 13.135719	k_1x1x6.gcc 0	k_1x1x6.gcc 14
k_1x1x7 gcc 1 1 7 13.316542	k_1x1x7.gcc 0	k_1x1x7.gcc 16
k_1x1x8 gcc 1 1 8 13.594892	k_1x1x8.gcc 0	k_1x1x8.gcc 18
k_1x1x9 gcc 1 1 9 13.668854	k_1x1x9.gcc 0	k_1x1x9.gcc 20
k_1x2x10 gcc 1 2 10 20.651680	k_1x2x10.gcc 0	k_1x2x10.gcc 23
k_1x2x11 gcc 1 2 11 21.006642	k_1x2x11.gcc 0	k_1x2x11.gcc 24
k_1x2x12 gcc 1 2 12 22.211418	k_1x2x12.gcc 0	k_1x2x12.gcc 26
k_1x2x13 gcc 1 2 13 21.324773	k_1x2x13.gcc 0	k_1x2x13.gcc 28
k_1x2x14 gcc 1 2 14 23.917985	k_1x2x14.gcc 0	k_1x2x14.gcc 30
k_1x2x1 gcc 1 2 1 6.835473	k_1x2x1.gcc 0	k_1x2x1.gcc 4
k_1x2x2 gcc 1 2 2 13.337259	k_1x2x2.gcc 0	k_1x2x2.gcc 7
k_1x2x3 gcc 1 2 3 19.551818	k_1x2x3.gcc 0	k_1x2x3.gcc 8
k_1x2x4 gcc 1 2 4 13.836557	k_1x2x4.gcc 0	k_1x2x4.gcc 11
k_1x2x5 gcc 1 2 5 16.367413	k_1x2x5.gcc 0	k_1x2x5.gcc 13
k_1x2x6 gcc 1 2 6 18.917715	k_1x2x6.gcc 0	k_1x2x6.gcc 15
k_1x2x7 gcc 1 2 7 19.547491	k_1x2x7.gcc 0	k_1x2x7.gcc 17
k_1x2x8 gcc 1 2 8 20.165870	k_1x2x8.gcc 0	k_1x2x8.gcc 19
k_1x2x9 gcc 1 2 9 19.227593	k_1x2x9.gcc 0	k_1x2x9.gcc 21
k_1x3x10 gcc 1 3 10 18.079196	k_1x3x10.gcc 3	k_1x3x10.gcc 32
k_1x3x11 gcc 1 3 11 21.794274	k_1x3x11.gcc 0	k_1x3x11.gcc 28
k_1x3x12 gcc 1 3 12 22.659595	k_1x3x12.gcc 0	k_1x3x12.gcc 27
k_1x3x13 gcc 1 3 13 21.162232	k_1x3x13.gcc 0	k_1x3x13.gcc 32
k_1x3x14 gcc 1 3 14 19.461637	k_1x3x14.gcc 2	k_1x3x14.gcc 32
k_1x3x1 gcc 1 3 1 6.903386	k_1x3x1.gcc 0	k_1x3x1.gcc 5
k_1x3x2 gcc 1 3 2 13.430719	k_1x3x2.gcc 0	k_1x3x2.gcc 7
k_1x3x3 gcc 1 3 3 19.767390	k_1x3x3.gcc 0	k_1x3x3.gcc 8
k_1x3x4 gcc 1 3 4 22.404642	k_1x3x4.gcc 0	k_1x3x4.gcc 10
k_1x3x5 gcc 1 3 5 23.704566	k_1x3x5.gcc 0	k_1x3x5.gcc 12
k_1x3x6 gcc 1 3 6 17.810339	k_1x3x6.gcc 0	k_1x3x6.gcc 15
k_1x3x7 gcc 1 3 7 20.084068	k_1x3x7.gcc 0	k_1x3x7.gcc 17
k_1x3x8 gcc 1 3 8 20.642218	k_1x3x8.gcc 0	k_1x3x8.gcc 20
k_1x3x9 gcc 1 3 9 20.704354	k_1x3x9.gcc 0	k_1x3x9.gcc 21
k_1x4x10 gcc 1 4 10 22.255441	k_1x4x10.gcc 0	k_1x4x10.gcc 25
k_1x4x11 gcc 1 4 11 22.589535	k_1x4x11.gcc 0	k_1x4x11.gcc 28
k_1x4x12 gcc 1 4 12 24.305830	k_1x4x12.gcc 0	k_1x4x12.gcc 30
k_1x4x1 gcc 1 4 1 6.929915	k_1x4x1.gcc 0	k_1x4x1.gcc 5
k_1x4x2 gcc 1 4 2 13.428216	k_1x4x2.gcc 0	k_1x4x2.gcc 7
k_1x4x3 gcc 1 4 3 19.759929	k_1x4x3.gcc 0	k_1x4x3.gcc 9
k_1x4x4 gcc 1 4 4 22.396644	k_1x4x4.gcc 0	k_1x4x4.gcc 11
k_1x4x5 gcc 1 4 5 23.623799	k_1x4x5.gcc 0	k_1x4x5.gcc 13
k_1x4x6 gcc 1 4 6 24.339974	k_1x4x6.gcc 0	k_1x4x6.gcc 15
k_1x4x7 gcc 1 4 7 22.667541	k_1x4x7.gcc 0	k_1x4x7.gcc 17
k_1x4x8 gcc 1 4 8 25.575913	k_1x4x8.gcc 0	k_1x4x8.gcc 29
k_1x4x9 gcc 1 4 9 22.388357	k_1x4x9.gcc 0	k_1x4x9.gcc 27
k_1x5x1 gcc 1 5 1 6.939184	k_1x5x1.gcc 0	k_1x5x1.gcc 6
k_1x5x2 gcc 1 5 2 13.434008	k_1x5x2.gcc 0	k_1x5x2.gcc 7
k_1x5x3 gcc 1 5 3 19.795819	k_1x5x3.gcc 0	k_1x5x3.gcc 10
k_1x5x4 gcc 1 5 4 22.523973	k_1x5x4.gcc 0	k_1x5x4.gcc 12
k_1x5x5 gcc 1 5 5 23.598387	k_1x5x5.gcc 0	k_1x5x5.gcc 14
k_1x5x6 gcc 1 5 6 21.333566	k_1x5x6.gcc 1	k_1x5x6.gcc 32
k_1x5x7 gcc 1 5 7 20.334355	k_1x5x7.gcc 0	k_1x5x7.gcc 25
k_1x5x8 gcc 1 5 8 22.699562	k_1x5x8.gcc 0	k_1x5x8.gcc 25
k_1x5x9 gcc 1 5 9 24.666330	k_1x5x9.gcc 0	k_1x5x9.gcc 25
k_1x6x1 gcc 1 6 1 6.942233	k_1x6x1.gcc 0	k_1x6x1.gcc 7
k_1x6x2 gcc 1 6 2 13.466463	k_1x6x2.gcc 0	k_1x6x2.gcc 8
k_1x6x3 gcc 1 6 3 19.781449	k_1x6x3.gcc 0	k_1x6x3.gcc 10
k_1x6x4 gcc 1 6 4 22.637045	k_1x6x4.gcc 0	k_1x6x4.gcc 13
k_1x6x5 gcc 1 6 5 19.682274	k_1x6x5.gcc 0	k_1x6x5.gcc 31
k_1x6x6 gcc 1 6 6 20.298457	k_1x6x6.gcc 0	k_1x6x6.gcc 25
k_1x6x7 gcc 1 6 7 21.652078	k_1x6x7.gcc 0	k_1x6x7.gcc 25
k_1x6x8 gcc 1 6 8 25.249556	k_1x6x8.gcc 0	k_1x6x8.gcc 25
k_1x7x1 gcc 1 7 1 6.953854	k_1x7x1.gcc 0	k_1x7x1.gcc 7
k_1x7x2 gcc 1 7 2 13.436252	k_1x7x2.gcc 0	k_1x7x2.gcc 8
k_1x7x3 gcc 1 7 3 19.773956	k_1x7x3.gcc 0	k_1x7x3.gcc 11
k_1x7x4 gcc 1 7 4 17.133515	k_1x7x4.gcc 1	k_1x7x4.gcc 32
k_1x7x5 gcc 1 7 5 19.464297	k_1x7x5.gcc 0	k_1x7x5.gcc 25
k_1x7x6 gcc 1 7 6 21.277636	k_1x7x6.gcc 0	k_1x7x6.gcc 25
k_1x7x7 gcc 1 7 7 22.011624	k_1x7x7.gcc 0	k_1x7x7.gcc 25
k_1x8x1 gcc 1 8 1 6.946958	k_1x8x1.gcc 0	k_1x8x1.gcc 8
k_1x8x2 gcc 1 8 2 13.451517	k_1x8x2.gcc 0	k_1x8x2.gcc 9
k_1x8x3 gcc 1 8 3 19.780047	k_1x8x3.gcc 0	k_1x8x3.gcc 11
k_1x8x4 gcc 1 8 4 18.758680	k_1x8x4.gcc 0	k_1x8x4.gcc 25
k_1x8x5 gcc 1 8 5 21.020021	k_1x8x5.gcc 0	k_1x8x5.gcc 28
k_1x8x6 gcc 1 8 6 21.989578	k_1x8x6.gcc 0	k_1x8x6.gcc 25
k_1x9x1 gcc 1 9 1 6.931396	k_1x9x1.gcc 0	k_1x9x1.gcc 9
k_1x9x2 gcc 1 9 2 13.442038	k_1x9x2.gcc 0	k_1x9x2.gcc 9
k_1x9x3 gcc 1 9 3 16.317648	k_1x9x3.gcc 1	k_1x9x3.gcc 32
k_1x9x4 gcc 1 9 4 18.169927	k_1x9x4.gcc 0	k_1x9x4.gcc 25
k_1x9x5 gcc 1 9 5 20.281619	k_1x9x5.gcc 0	k_1x9x5.gcc 25
k_2x10x1 gcc 2 10 1 13.501453	k_2x10x1.gcc 0	k_2x10x1.gcc 7
k_2x10x2 gcc 2 10 2 18.764841	k_2x10x2.gcc 1	k_2x10x2.gcc 32
k_2x10x3 gcc 2 10 3 25.926638	k_2x10x3.gcc 0	k_2x10x3.gcc 32
k_2x11x1 gcc 2 11 1 13.499977	k_2x11x1.gcc 0	k_2x11x1.gcc 7
k_2x11x2 gcc 2 11 2 20.754327	k_2x11x2.gcc 0	k_2x11x2.gcc 32
k_2x11x3 gcc 2 11 3 26.578583	k_2x11x3.gcc 0	k_2x11x3.gcc 32
k_2x12x1 gcc 2 12 1 11.025661	k_2x12x1.gcc 1	k_2x12x1.gcc 32
k_2x12x2 gcc 2 12 2 20.181490	k_2x12x2.gcc 0	k_2x12x2.gcc 32
k_2x13x1 gcc 2 13 1 9.543544	k_2x13x1.gcc 1	k_2x13x1.gcc 32
k_2x13x2 gcc 2 13 2 18.568533	k_2x13x2.gcc 1	k_2x13x2.gcc 32
k_2x14x1 gcc 2 14 1 9.930056	k_2x14x1.gcc 1	k_2x14x1.gcc 32
k_2x14x2 gcc 2 14 2 18.566673	k_2x14x2.gcc 3	k_2x14x2.gcc 32
k_2x1x10 gcc 2 1 10 18.977360	k_2x1x10.gcc 10	k_2x1x10.gcc 32
k_2x1x11 gcc 2 1 11 20.273264	k_2x1x11.gcc 14	k_2x1x11.gcc 32
k_2x1x12 gcc 2 1 12 21.126331	k_2x1x12.gcc 18	k_2x1x12.gcc 32
k_2x1x13 gcc 2 1 13 21.890791	k_2x1x13.gcc 22	k_2x1x13.gcc 32
k_2x1x14 gcc 2 1 14 23.412260	k_2x1x14.gcc 26	k_2x1x14.gcc 32
k_2x1x1 gcc 2 1 1 5.037682	k_2x1x1.gcc 0	k_2x1x1.gcc 6
k_2x1x2 gcc 2 1 2 9.802485	k_2x1x2.gcc 0	k_2x1x2.gcc 10
k_2x1x3 gcc 2 1 3 12.357298	k_2x1x3.gcc 0	k_2x1x3.gcc 14
k_2x1x4 gcc 2 1 4 15.045617	k_2x1x4.gcc 0	k_2x1x4.gcc 18
k_2x1x5 gcc 2 1 5 15.981105	k_2x1x5.gcc 0	k_2x1x5.gcc 22
k_2x1x6 gcc 2 1 6 16.341922	k_2x1x6.gcc 0	k_2x1x6.gcc 26
k_2x1x7 gcc 2 1 7 17.027949	k_2x1x7.gcc 0	k_2x1x7.gcc 30
k_2x1x8 gcc 2 1 8 17.906509	k_2x1x8.gcc 2	k_2x1x8.gcc 32
k_2x1x9 gcc 2 1 9 19.044916	k_2x1x9.gcc 6	k_2x1x9.gcc 32
k_2x2x10 gcc 2 2 10 25.192774	k_2x2x10.gcc 9	k_2x2x10.gcc 32
k_2x2x11 gcc 2 2 11 24.852781	k_2x2x11.gcc 16	k_2x2x11.gcc 32
k_2x2x12 gcc 2 2 12 22.525678	k_2x2x12.gcc 20	k_2x2x12.gcc 32
k_2x2x13 gcc 2 2 13 22.157470	k_2x2x13.gcc 20	k_2x2x13.gcc 32
k_2x2x14 gcc 2 2 14 22.485531	k_2x2x14.gcc 24	k_2x2x14.gcc 32
k_2x2x1 gcc 2 2 1 13.210151	k_2x2x1.gcc 0	k_2x2x1.gcc 6
k_2x2x2 gcc 2 2 2 24.744710	k_2x2x2.gcc 0	k_2x2x2.gcc 9
k_2x2x3 gcc 2 2 3 30.026626	k_2x2x3.gcc 0	k_2x2x3.gcc 13
k_2x2x4 gcc 2 2 4 18.806379	k_2x2x4.gcc 0	k_2x2x4.gcc 17
k_2x2x5 gcc 2 2 5 21.130710	k_2x2x5.gcc 0	k_2x2x5.gcc 23
k_2x2x6 gcc 2 2 6 22.033034	k_2x2x6.gcc 0	k_2x2x6.gcc 27
k_2x2x7 gcc 2 2 7 23.741253	k_2x2x7.gcc 0	k_2x2x7.gcc 29
k_2x2x8 gcc 2 2 8 26.933151	k_2x2x8.gcc 1	k_2x2x8.gcc 29
k_2x2x9 gcc 2 2 9 23.571394	k_2x2x9.gcc 4	k_2x2x9.gcc 31
k_2x3x10 gcc 2 3 10 23.440468	k_2x3x10.gcc 13	k_2x3x10.gcc 32
k_2x3x11 gcc 2 3 11 21.911549	k_2x3x11.gcc 19	k_2x3x11.gcc 32
k_2x3x1 gcc 2 3 1 13.468636	k_2x3x1.gcc 0	k_2x3x1.gcc 6
k_2x3x2 gcc 2 3 2 24.992975	k_2x3x2.gcc 0	k_2x3x2.gcc 10
k_2x3x3 gcc 2 3 3 30.377197	k_2x3x3.gcc 0	k_2x3x3.gcc 14
k_2x3x4 gcc 2 3 4 24.999269	k_2x3x4.gcc 0	k_2x3x4.gcc 20
k_2x3x5 gcc 2 3 5 26.045867	k_2x3x5.gcc 0	k_2x3x5.gcc 26
k_2x3x6 gcc 2 3 6 25.027979	k_2x3x6.gcc 0	k_2x3x6.gcc 25
k_2x3x7 gcc 2 3 7 24.240350	k_2x3x7.gcc 0	k_2x3x7.gcc 29
k_2x3x8 gcc 2 3 8 26.023391	k_2x3x8.gcc 0	k_2x3x8.gcc 32
k_2x3x9 gcc 2 3 9 21.987975	k_2x3x9.gcc 13	k_2x3x9.gcc 32
