k_10x1x1 greedy 10 1 1 28.069292	k_10x1x1.greedy 0	k_10x1x1.greedy 17
k_10x1x2 greedy 10 1 2 38.119512	k_10x1x2.greedy 0	k_10x1x2.greedy 28
k_10x1x3 greedy 10 1 3 19.892944	k_10x1x3.greedy 1	k_10x1x3.greedy 32
k_10x1x4 greedy 10 1 4 23.292341	k_10x1x4.greedy 7	k_10x1x4.greedy 32
k_10x2x1 greedy 10 2 1 30.313292	k_10x2x1.greedy 0	k_10x2x1.greedy 17
k_10x2x2 greedy 10 2 2 38.289851	k_10x2x2.greedy 0	k_10x2x2.greedy 26
k_10x2x3 greedy 10 2 3 26.168224	k_10x2x3.greedy 13	k_10x2x3.greedy 32
k_10x3x1 greedy 10 3 1 30.633816	k_10x3x1.greedy 0	k_10x3x1.greedy 18
k_10x3x2 greedy 10 3 2 39.919123	k_10x3x2.greedy 0	k_10x3x2.greedy 26
k_10x4x1 greedy 10 4 1 30.462943	k_10x4x1.greedy 0	k_10x4x1.greedy 19
k_11x1x1 greedy 11 1 1 29.198578	k_11x1x1.greedy 0	k_11x1x1.greedy 18
k_11x1x2 greedy 11 1 2 39.659567	k_11x1x2.greedy 0	k_11x1x2.greedy 27
k_11x1x3 greedy 11 1 3 19.477684	k_11x1x3.greedy 1	k_11x1x3.greedy 32
k_11x1x4 greedy 11 1 4 26.254853	k_11x1x4.greedy 15	k_11x1x4.greedy 32
k_11x2x1 greedy 11 2 1 30.666621	k_11x2x1.greedy 0	k_11x2x1.greedy 18
k_11x2x2 greedy 11 2 2 40.017798	k_11x2x2.greedy 0	k_11x2x2.greedy 29
k_11x2x3 greedy 11 2 3 25.406798	k_11x2x3.greedy 21	k_11x2x3.greedy 32
k_11x3x1 greedy 11 3 1 31.825497	k_11x3x1.greedy 0	k_11x3x1.greedy 19
k_11x3x2 greedy 11 3 2 44.893009	k_11x3x2.greedy 0	k_11x3x2.greedy 30
k_11x4x1 greedy 11 4 1 30.984634	k_11x4x1.greedy 0	k_11x4x1.greedy 20
k_12x1x1 greedy 12 1 1 29.176555	k_12x1x1.greedy 0	k_12x1x1.greedy 19
k_12x1x2 greedy 12 1 2 39.364468	k_12x1x2.greedy 0	k_12x1x2.greedy 29
k_12x1x3 greedy 12 1 3 19.740951	k_12x1x3.greedy 1	k_12x1x3.greedy 32
k_12x1x4 greedy 12 1 4 29.390690	k_12x1x4.greedy 15	k_12x1x4.greedy 32
k_12x2x1 greedy 12 2 1 30.633196	k_12x2x1.greedy 0	k_12x2x1.greedy 19
k_12x2x2 greedy 12 2 2 41.921039	k_12x2x2.greedy 0	k_12x2x2.greedy 30
k_12x3x1 greedy 12 3 1 32.972216	k_12x3x1.greedy 0	k_12x3x1.greedy 20
k_12x4x1 greedy 12 4 1 31.381279	k_12x4x1.greedy 0	k_12x4x1.greedy 21
k_13x1x1 greedy 13 1 1 29.658319	k_13x1x1.greedy 0	k_13x1x1.greedy 20
k_13x1x2 greedy 13 1 2 41.346138	k_13x1x2.greedy 0	k_13x1x2.greedy 31
k_13x1x3 greedy 13 1 3 24.541970	k_13x1x3.greedy 5	k_13x1x3.greedy 32
k_13x2x1 greedy 13 2 1 30.986061	k_13x2x1.greedy 0	k_13x2x1.greedy 20
k_13x2x2 greedy 13 2 2 43.153877	k_13x2x2.greedy 0	k_13x2x2.greedy 32
k_13x3x1 greedy 13 3 1 33.768280	k_13x3x1.greedy 0	k_13x3x1.greedy 21
k_14x1x1 greedy 14 1 1 29.176740	k_14x1x1.greedy 0	k_14x1x1.greedy 21
k_14x1x2 greedy 14 1 2 17.303867	k_14x1x2.greedy 0	k_14x1x2.greedy 32
k_14x1x3 greedy 14 1 3 24.401114	k_14x1x3.greedy 9	k_14x1x3.greedy 32
k_14x2x1 greedy 14 2 1 30.553268	k_14x2x1.greedy 0	k_14x2x1.greedy 22
k_14x2x2 greedy 14 2 2 26.545839	k_14x2x2.greedy 16	k_14x2x2.greedy 32
k_14x3x1 greedy 14 3 1 31.249567	k_14x3x1.greedy 0	k_14x3x1.greedy 22
k_1x10x1 greedy 1 10 1 6.889162	k_1x10x1.greedy 0	k_1x10x1.greedy 10
k_1x10x2 greedy 1 10 2 13.410828	k_1x10x2.greedy 0	k_1x10x2.greedy 12
k_1x10x3 greedy 1 10 3 19.704660	k_1x10x3.greedy 0	k_1x10x3.greedy 13
k_1x10x4 greedy 1 10 4 22.116104	k_1x10x4.greedy 0	k_1x10x4.greedy 17
k_1x11x1 greedy 1 11 1 6.878860	k_1x11x1.greedy 0	k_1x11x1.greedy 10
