k_10x1x1 openmp 10 1 1 25.311714	k_10x1x1.openmp 0	k_10x1x1.openmp 19
k_10x1x2 openmp 10 1 2 37.577127	k_10x1x2.openmp 0	k_10x1x2.openmp 27
k_10x1x3 openmp 10 1 3 20.107335	k_10x1x3.openmp 0	k_10x1x3.openmp 32
k_10x1x4 openmp 10 1 4 30.214339	k_10x1x4.openmp 8	k_10x1x4.openmp 32
k_10x2x1 openmp 10 2 1 20.253290	k_10x2x1.openmp 0	k_10x2x1.openmp 30
k_10x2x2 openmp 10 2 2 30.580681	k_10x2x2.openmp 0	k_10x2x2.openmp 29
k_10x2x3 openmp 10 2 3 25.417968	k_10x2x3.openmp 19	k_10x2x3.openmp 32
k_10x3x1 openmp 10 3 1 31.959710	k_10x3x1.openmp 0	k_10x3x1.openmp 18
k_10x3x2 openmp 10 3 2 43.364320	k_10x3x2.openmp 0	k_10x3x2.openmp 26
k_10x4x1 openmp 10 4 1 21.396607	k_10x4x1.openmp 0	k_10x4x1.openmp 20
k_11x1x1 openmp 11 1 1 21.874255	k_11x1x1.openmp 0	k_11x1x1.openmp 20
k_11x1x2 openmp 11 1 2 29.979166	k_11x1x2.openmp 0	k_11x1x2.openmp 28
k_11x1x3 openmp 11 1 3 18.407982	k_11x1x3.openmp 0	k_11x1x3.openmp 32
k_11x1x4 openmp 11 1 4 19.311174	k_11x1x4.openmp 11	k_11x1x4.openmp 32
k_11x2x1 openmp 11 2 1 17.065655	k_11x2x1.openmp 0	k_11x2x1.openmp 20
k_11x2x2 openmp 11 2 2 25.835883	k_11x2x2.openmp 0	k_11x2x2.openmp 28
k_11x2x3 openmp 11 2 3 21.407625	k_11x2x3.openmp 24	k_11x2x3.openmp 32
k_11x3x1 openmp 11 3 1 27.121600	k_11x3x1.openmp 0	k_11x3x1.openmp 19
k_11x3x2 openmp 11 3 2 37.011300	k_11x3x2.openmp 0	k_11x3x2.openmp 30
k_11x4x1 openmp 11 4 1 18.216362	k_11x4x1.openmp 0	k_11x4x1.openmp 23
k_12x1x1 openmp 12 1 1 21.601295	k_12x1x1.openmp 0	k_12x1x1.openmp 21
k_12x1x2 openmp 12 1 2 29.901711	k_12x1x2.openmp 0	k_12x1x2.openmp 30
k_12x1x3 openmp 12 1 3 22.688143	k_12x1x3.openmp 4	k_12x1x3.openmp 32
k_12x1x4 openmp 12 1 4 18.433443	k_12x1x4.openmp 14	k_12x1x4.openmp 32
