k_10x1x1 basic 10 1 1 22.104765	k_10x1x1.basic 0	k_10x1x1.basic 11
k_10x1x2 basic 10 1 2 27.243495	k_10x1x2.basic 0	k_10x1x2.basic 32
k_10x1x3 basic 10 1 3 14.171208	k_10x1x3.basic 6	k_10x1x3.basic 32
k_10x1x4 basic 10 1 4 9.684813	k_10x1x4.basic 14	k_10x1x4.basic 32
k_10x2x1 basic 10 2 1 22.009063	k_10x2x1.basic 0	k_10x2x1.basic 12
k_10x2x2 basic 10 2 2 29.315167	k_10x2x2.basic 0	k_10x2x2.basic 32
k_10x2x3 basic 10 2 3 15.814653	k_10x2x3.basic 9	k_10x2x3.basic 32
k_10x3x1 basic 10 3 1 21.961348	k_10x3x1.basic 0	k_10x3x1.basic 13
k_10x3x2 basic 10 3 2 27.232904	k_10x3x2.basic 4	k_10x3x2.basic 32
k_10x4x1 basic 10 4 1 17.338564	k_10x4x1.basic 0	k_10x4x1.basic 14
k_11x1x1 basic 11 1 1 21.500873	k_11x1x1.basic 0	k_11x1x1.basic 12
k_11x1x2 basic 11 1 2 29.731892	k_11x1x2.basic 0	k_11x1x2.basic 25
k_11x1x3 basic 11 1 3 16.877768	k_11x1x3.basic 9	k_11x1x3.basic 32
k_11x1x4 basic 11 1 4 10.372643	k_11x1x4.basic 18	k_11x1x4.basic 32
k_11x2x1 basic 11 2 1 22.030718	k_11x2x1.basic 0	k_11x2x1.basic 13
k_11x2x2 basic 11 2 2 25.115474	k_11x2x2.basic 4	k_11x2x2.basic 32
k_11x2x3 basic 11 2 3 14.022119	k_11x2x3.basic 11	k_11x2x3.basic 32
k_11x3x1 basic 11 3 1 21.396260	k_11x3x1.basic 0	k_11x3x1.basic 14
k_11x3x2 basic 11 3 2 18.181523	k_11x3x2.basic 10	k_11x3x2.basic 32
k_11x4x1 basic 11 4 1 18.130065	k_11x4x1.basic 0	k_11x4x1.basic 15
k_12x1x1 basic 12 1 1 22.424062	k_12x1x1.basic 0	k_12x1x1.basic 13
k_12x1x2 basic 12 1 2 29.795014	k_12x1x2.basic 0	k_12x1x2.basic 27
k_12x1x3 basic 12 1 3 14.403382	k_12x1x3.basic 13	k_12x1x3.basic 32
k_12x1x4 basic 12 1 4 7.790067	k_12x1x4.basic 22	k_12x1x4.basic 32
k_12x2x1 basic 12 2 1 22.306293	k_12x2x1.basic 0	k_12x2x1.basic 14
k_12x2x2 basic 12 2 2 18.720806	k_12x2x2.basic 7	k_12x2x2.basic 32
k_12x3x1 basic 12 3 1 21.951976	k_12x3x1.basic 0	k_12x3x1.basic 15
k_12x4x1 basic 12 4 1 18.500528	k_12x4x1.basic 0	k_12x4x1.basic 16
k_13x1x1 basic 13 1 1 21.881778	k_13x1x1.basic 0	k_13x1x1.basic 14
k_13x1x2 basic 13 1 2 29.821625	k_13x1x2.basic 0	k_13x1x2.basic 29
k_13x1x3 basic 13 1 3 11.064175	k_13x1x3.basic 15	k_13x1x3.basic 32
k_13x2x1 basic 13 2 1 22.734185	k_13x2x1.basic 0	k_13x2x1.basic 15
k_13x2x2 basic 13 2 2 14.046253	k_13x2x2.basic 11	k_13x2x2.basic 32
k_13x3x1 basic 13 3 1 22.129278	k_13x3x1.basic 0	k_13x3x1.basic 16
k_14x1x1 basic 14 1 1 22.805001	k_14x1x1.basic 0	k_14x1x1.basic 15
k_14x1x2 basic 14 1 2 29.746362	k_14x1x2.basic 0	k_14x1x2.basic 31
k_14x1x3 basic 14 1 3 10.149917	k_14x1x3.basic 19	k_14x1x3.basic 32
