k_10x1x1 gcc 10 1 1 11.902607	k_10x1x1.gcc 0	k_10x1x1.gcc 20
k_10x1x2 gcc 10 1 2 15.563452	k_10x1x2.gcc 9	k_10x1x2.gcc 32
k_10x1x3 gcc 10 1 3 10.562398	k_10x1x3.gcc 29	k_10x1x3.gcc 32
k_10x1x4 gcc 10 1 4 9.793083	k_10x1x4.gcc 50	k_10x1x4.gcc 32
k_10x2x1 gcc 10 2 1 16.693948	k_10x2x1.gcc 0	k_10x2x1.gcc 21
k_10x2x2 gcc 10 2 2 20.420855	k_10x2x2.gcc 13	k_10x2x2.gcc 32
k_10x2x3 gcc 10 2 3 15.715018	k_10x2x3.gcc 34	k_10x2x3.gcc 32
k_10x3x1 gcc 10 3 1 19.805447	k_10x3x1.gcc 0	k_10x3x1.gcc 22
k_10x3x2 gcc 10 3 2 16.436200	k_10x3x2.gcc 27	k_10x3x2.gcc 32
k_10x4x1 gcc 10 4 1 21.307851	k_10x4x1.gcc 0	k_10x4x1.gcc 23
k_11x1x1 gcc 11 1 1 12.049788	k_11x1x1.gcc 0	k_11x1x1.gcc 22
k_11x1x2 gcc 11 1 2 13.511613	k_11x1x2.gcc 13	k_11x1x2.gcc 32
k_11x1x3 gcc 11 1 3 10.552896	k_11x1x3.gcc 35	k_11x1x3.gcc 32
k_11x1x4 gcc 11 1 4 9.668874	k_11x1x4.gcc 58	k_11x1x4.gcc 32
k_11x2x1 gcc 11 2 1 16.577148	k_11x2x1.gcc 0	k_11x2x1.gcc 23
k_11x2x2 gcc 11 2 2 17.948431	k_11x2x2.gcc 17	k_11x2x2.gcc 32
k_11x2x3 gcc 11 2 3 15.239601	k_11x2x3.gcc 40	k_11x2x3.gcc 32
k_11x3x1 gcc 11 3 1 19.933247	k_11x3x1.gcc 0	k_11x3x1.gcc 24
k_11x3x2 gcc 11 3 2 16.683863	k_11x3x2.gcc 31	k_11x3x2.gcc 32
k_11x4x1 gcc 11 4 1 21.954351	k_11x4x1.gcc 0	k_11x4x1.gcc 25
k_12x1x1 gcc 12 1 1 12.373193	k_12x1x1.gcc 0	k_12x1x1.gcc 24
k_12x1x2 gcc 12 1 2 11.616799	k_12x1x2.gcc 17	k_12x1x2.gcc 32
k_12x1x3 gcc 12 1 3 9.934252	k_12x1x3.gcc 42	k_12x1x3.gcc 32
k_12x1x4 gcc 12 1 4 9.098598	k_12x1x4.gcc 66	k_12x1x4.gcc 32
k_12x2x1 gcc 12 2 1 16.922281	k_12x2x1.gcc 0	k_12x2x1.gcc 25
k_12x2x2 gcc 12 2 2 17.311337	k_12x2x2.gcc 21	k_12x2x2.gcc 32
k_12x3x1 gcc 12 3 1 20.105332	k_12x3x1.gcc 0	k_12x3x1.gcc 26
k_12x4x1 gcc 12 4 1 22.229976	k_12x4x1.gcc 0	k_12x4x1.gcc 27
k_13x1x1 gcc 13 1 1 12.233006	k_13x1x1.gcc 0	k_13x1x1.gcc 26
k_13x1x2 gcc 13 1 2 10.913786	k_13x1x2.gcc 21	k_13x1x2.gcc 32
k_13x1x3 gcc 13 1 3 9.416295	k_13x1x3.gcc 48	k_13x1x3.gcc 32
k_13x2x1 gcc 13 2 1 18.025226	k_13x2x1.gcc 0	k_13x2x1.gcc 27
k_13x2x2 gcc 13 2 2 16.465995	k_13x2x2.gcc 25	k_13x2x2.gcc 32
k_13x3x1 gcc 13 3 1 20.513854	k_13x3x1.gcc 0	k_13x3x1.gcc 28
k_14x1x1 gcc 14 1 1 12.734671	k_14x1x1.gcc 0	k_14x1x1.gcc 28
k_14x1x2 gcc 14 1 2 10.712713	k_14x1x2.gcc 25	k_14x1x2.gcc 32
k_14x1x3 gcc 14 1 3 9.092984	k_14x1x3.gcc 54	k_14x1x3.gcc 32
k_14x2x1 gcc 14 2 1 17.910186	k_14x2x1.gcc 0	k_14x2x1.gcc 29
k_14x2x2 gcc 14 2 2 14.759550	k_14x2x2.gcc 30	k_14x2x2.gcc 32
k_14x3x1 gcc 14 3 1 20.917968	k_14x3x1.gcc 0	k_14x3x1.gcc 30
k_1x10x1 gcc 1 10 1 4.373316	k_1x10x1.gcc 0	k_1x10x1.gcc 6
k_1x10x2 gcc 1 10 2 8.200546	k_1x10x2.gcc 0	k_1x10x2.gcc 12
k_1x10x3 gcc 1 10 3 9.062858	k_1x10x3.gcc 0	k_1x10x3.gcc 15
k_1x10x4 gcc 1 10 4 9.881475	k_1x10x4.gcc 0	k_1x10x4.gcc 17
k_1x11x1 gcc 1 11 1 4.389198	k_1x11x1.gcc 0	k_1x11x1.gcc 6
k_1x11x2 gcc 1 11 2 8.282998	k_1x11x2.gcc 0	k_1x11x2.gcc 13
k_1x11x3 gcc 1 11 3 9.065813	k_1x11x3.gcc 0	k_1x11x3.gcc 16
k_1x11x4 gcc 1 11 4 9.953037	k_1x11x4.gcc 0	k_1x11x4.gcc 18
k_1x12x1 gcc 1 12 1 4.357484	k_1x12x1.gcc 0	k_1x12x1.gcc 6
k_1x12x2 gcc 1 12 2 8.220043	k_1x12x2.gcc 0	k_1x12x2.gcc 14
k_1x12x3 gcc 1 12 3 9.002447	k_1x12x3.gcc 0	k_1x12x3.gcc 17
k_1x12x4 gcc 1 12 4 10.020174	k_1x12x4.gcc 0	k_1x12x4.gcc 19
k_1x13x1 gcc 1 13 1 4.368684	k_1x13x1.gcc 0	k_1x13x1.gcc 6
k_1x13x2 gcc 1 13 2 8.133465	k_1x13x2.gcc 0	k_1x13x2.gcc 15
k_1x13x3 gcc 1 13 3 9.185221	k_1x13x3.gcc 0	k_1x13x3.gcc 18
k_1x14x1 gcc 1 14 1 4.364037	k_1x14x1.gcc 0	k_1x14x1.gcc 6
k_1x14x2 gcc 1 14 2 8.034755	k_1x14x2.gcc 0	k_1x14x2.gcc 16
k_1x14x3 gcc 1 14 3 9.360407	k_1x14x3.gcc 0	k_1x14x3.gcc 19
k_1x1x1 gcc 1 1 1 3.840766	k_1x1x1.gcc 0	k_1x1x1.gcc 2
k_1x1x2 gcc 1 1 2 7.730357	k_1x1x2.gcc 0	k_1x1x2.gcc 4
k_1x1x3 gcc 1 1 3 7.332393	k_1x1x3.gcc 0	k_1x1x3.gcc 6
k_1x1x4 gcc 1 1 4 8.993726	k_1x1x4.gcc 0	k_1x1x4.gcc 8
k_1x1x5 gcc 1 1 5 10.192131	k_1x1x5.gcc 0	k_1x1x5.gcc 10
k_1x1x6 gcc 1 1 6 10.782723	k_1x1x6.gcc 0	k_1x1x6.gcc 12
k_1x1x7 gcc 1 1 7 10.784628	k_1x1x7.gcc 0	k_1x1x7.gcc 14
k_1x1x8 gcc 1 1 8 10.894865	k_1x1x8.gcc 0	k_1x1x8.gcc 16
k_1x2x1 gcc 1 2 1 4.350364	k_1x2x1.gcc 0	k_1x2x1.gcc 3
k_1x2x2 gcc 1 2 2 7.365558	k_1x2x2.gcc 0	k_1x2x2.gcc 5
k_1x2x3 gcc 1 2 3 9.041643	k_1x2x3.gcc 0	k_1x2x3.gcc 7
k_1x2x4 gcc 1 2 4 10.792620	k_1x2x4.gcc 0	k_1x2x4.gcc 9
k_1x2x5 gcc 1 2 5 10.732124	k_1x2x5.gcc 0	k_1x2x5.gcc 8
k_1x2x6 gcc 1 2 6 10.872190	k_1x2x6.gcc 0	k_1x2x6.gcc 8
k_1x2x7 gcc 1 2 7 10.872211	k_1x2x7.gcc 0	k_1x2x7.gcc 9
k_1x2x8 gcc 1 2 8 11.043053	k_1x2x8.gcc 0	k_1x2x8.gcc 10
k_1x3x1 gcc 1 3 1 4.340483	k_1x3x1.gcc 0	k_1x3x1.gcc 4
k_1x3x2 gcc 1 3 2 7.819667	k_1x3x2.gcc 0	k_1x3x2.gcc 6
k_1x3x3 gcc 1 3 3 9.930320	k_1x3x3.gcc 0	k_1x3x3.gcc 8
k_1x3x4 gcc 1 3 4 10.768814	k_1x3x4.gcc 0	k_1x3x4.gcc 9
k_1x3x5 gcc 1 3 5 10.636714	k_1x3x5.gcc 0	k_1x3x5.gcc 8
k_1x3x6 gcc 1 3 6 10.823790	k_1x3x6.gcc 0	k_1x3x6.gcc 9
k_1x3x7 gcc 1 3 7 10.854402	k_1x3x7.gcc 0	k_1x3x7.gcc 11
k_1x3x8 gcc 1 3 8 10.991828	k_1x3x8.gcc 0	k_1x3x8.gcc 17
k_1x4x1 gcc 1 4 1 4.384245	k_1x4x1.gcc 0	k_1x4x1.gcc 5
k_1x4x2 gcc 1 4 2 8.278446	k_1x4x2.gcc 0	k_1x4x2.gcc 7
k_1x4x3 gcc 1 4 3 10.161650	k_1x4x3.gcc 0	k_1x4x3.gcc 9
k_1x4x4 gcc 1 4 4 11.360486	k_1x4x4.gcc 0	k_1x4x4.gcc 9
k_1x4x5 gcc 1 4 5 10.620423	k_1x4x5.gcc 0	k_1x4x5.gcc 9
k_1x4x6 gcc 1 4 6 10.831530	k_1x4x6.gcc 0	k_1x4x6.gcc 14
k_1x4x7 gcc 1 4 7 10.932308	k_1x4x7.gcc 0	k_1x4x7.gcc 16
k_1x4x8 gcc 1 4 8 11.222339	k_1x4x8.gcc 0	k_1x4x8.gcc 18
k_1x5x1 gcc 1 5 1 4.384996	k_1x5x1.gcc 0	k_1x5x1.gcc 6
k_1x5x2 gcc 1 5 2 8.244675	k_1x5x2.gcc 0	k_1x5x2.gcc 8
k_1x5x3 gcc 1 5 3 10.198591	k_1x5x3.gcc 0	k_1x5x3.gcc 9
k_1x5x4 gcc 1 5 4 11.056181	k_1x5x4.gcc 0	k_1x5x4.gcc 9
k_1x5x5 gcc 1 5 5 10.671209	k_1x5x5.gcc 0	k_1x5x5.gcc 13
k_1x5x6 gcc 1 5 6 10.884669	k_1x5x6.gcc 0	k_1x5x6.gcc 15
k_1x5x7 gcc 1 5 7 11.363674	k_1x5x7.gcc 0	k_1x5x7.gcc 15
k_1x5x8 gcc 1 5 8 11.216062	k_1x5x8.gcc 0	k_1x5x8.gcc 19
k_1x6x1 gcc 1 6 1 4.347223	k_1x6x1.gcc 0	k_1x6x1.gcc 6
