k_10x1x1 gcc 10 1 1 11.902607	k_10x1x1.gcc 0	k_10x1x1.gcc 20	k_10x1x1 greedy 10 1 1 22.080886	k_10x1x1.greedy 0	k_10x1x1.greedy 11
k_10x1x2 gcc 10 1 2 15.563452	k_10x1x2.gcc 9	k_10x1x2.gcc 32	k_10x1x2 greedy 10 1 2 27.186877	k_10x1x2.greedy 0	k_10x1x2.greedy 32
k_10x1x3 gcc 10 1 3 10.562398	k_10x1x3.gcc 29	k_10x1x3.gcc 32	k_10x1x3 greedy 10 1 3 11.909880	k_10x1x3.greedy 8	k_10x1x3.greedy 32
k_10x1x4 gcc 10 1 4 9.793083	k_10x1x4.gcc 50	k_10x1x4.gcc 32	k_10x1x4 greedy 10 1 4 11.315349	k_10x1x4.greedy 19	k_10x1x4.greedy 32
k_10x2x1 gcc 10 2 1 16.693948	k_10x2x1.gcc 0	k_10x2x1.gcc 21	k_10x2x1 greedy 10 2 1 22.010050	k_10x2x1.greedy 0	k_10x2x1.greedy 12
k_10x2x2 gcc 10 2 2 20.420855	k_10x2x2.gcc 13	k_10x2x2.gcc 32	k_10x2x2 greedy 10 2 2 29.288913	k_10x2x2.greedy 0	k_10x2x2.greedy 32
k_10x2x3 gcc 10 2 3 15.715018	k_10x2x3.gcc 34	k_10x2x3.gcc 32	k_10x2x3 greedy 10 2 3 8.816573	k_10x2x3.greedy 33	k_10x2x3.greedy 32
k_10x3x1 gcc 10 3 1 19.805447	k_10x3x1.gcc 0	k_10x3x1.gcc 22	k_10x3x1 greedy 10 3 1 21.875811	k_10x3x1.greedy 0	k_10x3x1.greedy 13
k_10x3x2 gcc 10 3 2 16.436200	k_10x3x2.gcc 27	k_10x3x2.gcc 32	k_10x3x2 greedy 10 3 2 27.460170	k_10x3x2.greedy 4	k_10x3x2.greedy 32
k_10x4x1 gcc 10 4 1 21.307851	k_10x4x1.gcc 0	k_10x4x1.gcc 23	k_10x4x1 greedy 10 4 1 17.347148	k_10x4x1.greedy 0	k_10x4x1.greedy 14
k_11x1x1 gcc 11 1 1 12.049788	k_11x1x1.gcc 0	k_11x1x1.gcc 22	k_11x1x1 greedy 11 1 1 21.545169	k_11x1x1.greedy 0	k_11x1x1.greedy 12
k_11x1x2 gcc 11 1 2 13.511613	k_11x1x2.gcc 13	k_11x1x2.gcc 32	k_11x1x2 greedy 11 1 2 29.785064	k_11x1x2.greedy 0	k_11x1x2.greedy 25
k_11x1x3 gcc 11 1 3 10.552896	k_11x1x3.gcc 35	k_11x1x3.gcc 32	k_11x1x3 greedy 11 1 3 13.542403	k_11x1x3.greedy 10	k_11x1x3.greedy 32
k_11x1x4 gcc 11 1 4 9.668874	k_11x1x4.gcc 58	k_11x1x4.gcc 32	k_11x1x4 greedy 11 1 4 8.398876	k_11x1x4.greedy 25	k_11x1x4.greedy 32
k_11x2x1 gcc 11 2 1 16.577148	k_11x2x1.gcc 0	k_11x2x1.gcc 23	k_11x2x1 greedy 11 2 1 22.109792	k_11x2x1.greedy 0	k_11x2x1.greedy 13
k_11x2x2 gcc 11 2 2 17.948431	k_11x2x2.gcc 17	k_11x2x2.gcc 32	k_11x2x2 greedy 11 2 2 26.317083	k_11x2x2.greedy 4	k_11x2x2.greedy 32
k_11x2x3 gcc 11 2 3 15.239601	k_11x2x3.gcc 40	k_11x2x3.gcc 32	k_11x2x3 greedy 11 2 3 8.699555	k_11x2x3.greedy 36	k_11x2x3.greedy 32
k_11x3x1 gcc 11 3 1 19.933247	k_11x3x1.gcc 0	k_11x3x1.gcc 24	k_11x3x1 greedy 11 3 1 21.363094	k_11x3x1.greedy 0	k_11x3x1.greedy 14
k_11x3x2 gcc 11 3 2 16.683863	k_11x3x2.gcc 31	k_11x3x2.gcc 32	k_11x3x2 greedy 11 3 2 23.225740	k_11x3x2.greedy 10	k_11x3x2.greedy 32
k_11x4x1 gcc 11 4 1 21.954351	k_11x4x1.gcc 0	k_11x4x1.gcc 25	k_11x4x1 greedy 11 4 1 18.245187	k_11x4x1.greedy 0	k_11x4x1.greedy 15
k_12x1x1 gcc 12 1 1 12.373193	k_12x1x1.gcc 0	k_12x1x1.gcc 24	k_12x1x1 greedy 12 1 1 22.487795	k_12x1x1.greedy 0	k_12x1x1.greedy 13
k_12x1x2 gcc 12 1 2 11.616799	k_12x1x2.gcc 17	k_12x1x2.gcc 32	k_12x1x2 greedy 12 1 2 29.833972	k_12x1x2.greedy 0	k_12x1x2.greedy 27
