k_10x1x1 greedy 10 1 1 22.080886	k_10x1x1.greedy 0	k_10x1x1.greedy 11
k_10x1x2 greedy 10 1 2 27.186877	k_10x1x2.greedy 0	k_10x1x2.greedy 32
k_10x1x3 greedy 10 1 3 11.909880	k_10x1x3.greedy 8	k_10x1x3.greedy 32
k_10x1x4 greedy 10 1 4 11.315349	k_10x1x4.greedy 19	k_10x1x4.greedy 32
k_10x2x1 greedy 10 2 1 22.010050	k_10x2x1.greedy 0	k_10x2x1.greedy 12
k_10x2x2 greedy 10 2 2 29.288913	k_10x2x2.greedy 0	k_10x2x2.greedy 32
k_10x2x3 greedy 10 2 3 8.816573	k_10x2x3.greedy 33	k_10x2x3.greedy 32
k_10x3x1 greedy 10 3 1 21.875811	k_10x3x1.greedy 0	k_10x3x1.greedy 13
k_10x3x2 greedy 10 3 2 27.460170	k_10x3x2.greedy 4	k_10x3x2.greedy 32
k_10x4x1 greedy 10 4 1 17.347148	k_10x4x1.greedy 0	k_10x4x1.greedy 14
k_11x1x1 greedy 11 1 1 21.545169	k_11x1x1.greedy 0	k_11x1x1.greedy 12
k_11x1x2 greedy 11 1 2 29.785064	k_11x1x2.greedy 0	k_11x1x2.greedy 25
k_11x1x3 greedy 11 1 3 13.542403	k_11x1x3.greedy 10	k_11x1x3.greedy 32
k_11x1x4 greedy 11 1 4 8.398876	k_11x1x4.greedy 25	k_11x1x4.greedy 32
k_11x2x1 greedy 11 2 1 22.109792	k_11x2x1.greedy 0	k_11x2x1.greedy 13
k_11x2x2 greedy 11 2 2 26.317083	k_11x2x2.greedy 4	k_11x2x2.greedy 32
k_11x2x3 greedy 11 2 3 8.699555	k_11x2x3.greedy 36	k_11x2x3.greedy 32
k_11x3x1 greedy 11 3 1 21.363094	k_11x3x1.greedy 0	k_11x3x1.greedy 14
k_11x3x2 greedy 11 3 2 23.225740	k_11x3x2.greedy 10	k_11x3x2.greedy 32
k_11x4x1 greedy 11 4 1 18.245187	k_11x4x1.greedy 0	k_11x4x1.greedy 15
k_12x1x1 greedy 12 1 1 22.487795	k_12x1x1.greedy 0	k_12x1x1.greedy 13
k_12x1x2 greedy 12 1 2 29.833972	k_12x1x2.greedy 0	k_12x1x2.greedy 27
k_12x1x3 greedy 12 1 3 12.411699	k_12x1x3.greedy 15	k_12x1x3.greedy 32
k_12x1x4 greedy 12 1 4 7.766511	k_12x1x4.greedy 31	k_12x1x4.greedy 32
k_12x2x1 greedy 12 2 1 22.325581	k_12x2x1.greedy 0	k_12x2x1.greedy 14
k_12x2x2 greedy 12 2 2 24.961710	k_12x2x2.greedy 6	k_12x2x2.greedy 32
k_12x3x1 greedy 12 3 1 21.923905	k_12x3x1.greedy 0	k_12x3x1.greedy 15
k_12x4x1 greedy 12 4 1 18.475792	k_12x4x1.greedy 0	k_12x4x1.greedy 16
k_13x1x1 greedy 13 1 1 21.920701	k_13x1x1.greedy 0	k_13x1x1.greedy 14
k_13x1x2 greedy 13 1 2 29.902377	k_13x1x2.greedy 0	k_13x1x2.greedy 29
k_13x1x3 greedy 13 1 3 11.881064	k_13x1x3.greedy 18	k_13x1x3.greedy 32
k_13x2x1 greedy 13 2 1 22.737225	k_13x2x1.greedy 0	k_13x2x1.greedy 15
k_13x2x2 greedy 13 2 2 15.295163	k_13x2x2.greedy 15	k_13x2x2.greedy 32
k_13x3x1 greedy 13 3 1 22.246690	k_13x3x1.greedy 0	k_13x3x1.greedy 16
k_14x1x1 greedy 14 1 1 22.835711	k_14x1x1.greedy 0	k_14x1x1.greedy 15
k_14x1x2 greedy 14 1 2 29.949697	k_14x1x2.greedy 0	k_14x1x2.greedy 31
k_14x1x3 greedy 14 1 3 8.543258	k_14x1x3.greedy 22	k_14x1x3.greedy 32
k_14x2x1 greedy 14 2 1 22.938103	k_14x2x1.greedy 0	k_14x2x1.greedy 16
k_14x2x2 greedy 14 2 2 8.269549	k_14x2x2.greedy 35	k_14x2x2.greedy 32
k_14x3x1 greedy 14 3 1 22.545616	k_14x3x1.greedy 0	k_14x3x1.greedy 17
k_1x10x1 greedy 1 10 1 4.320328	k_1x10x1.greedy 0	k_1x10x1.greedy 11
k_1x10x2 greedy 1 10 2 8.027840	k_1x10x2.greedy 0	k_1x10x2.greedy 12
k_1x10x3 greedy 1 10 3 8.891178	k_1x10x3.greedy 0	k_1x10x3.greedy 13
k_1x10x4 greedy 1 10 4 8.662519	k_1x10x4.greedy 0	k_1x10x4.greedy 14
k_1x11x1 greedy 1 11 1 4.356749	k_1x11x1.greedy 0	k_1x11x1.greedy 12
k_1x11x2 greedy 1 11 2 8.014631	k_1x11x2.greedy 0	k_1x11x2.greedy 13
k_1x11x3 greedy 1 11 3 8.922015	k_1x11x3.greedy 0	k_1x11x3.greedy 14
k_1x11x4 greedy 1 11 4 8.592817	k_1x11x4.greedy 0	k_1x11x4.greedy 15
k_1x12x1 greedy 1 12 1 4.331066	k_1x12x1.greedy 0	k_1x12x1.greedy 13
k_1x12x2 greedy 1 12 2 8.000870	k_1x12x2.greedy 0	k_1x12x2.greedy 14
k_1x12x3 greedy 1 12 3 8.874431	k_1x12x3.greedy 0	k_1x12x3.greedy 15
k_1x12x4 greedy 1 12 4 8.362441	k_1x12x4.greedy 0	k_1x12x4.greedy 16
k_1x13x1 greedy 1 13 1 4.288286	k_1x13x1.greedy 0	k_1x13x1.greedy 14
k_1x13x2 greedy 1 13 2 7.946106	k_1x13x2.greedy 0	k_1x13x2.greedy 15
k_1x13x3 greedy 1 13 3 8.939510	k_1x13x3.greedy 0	k_1x13x3.greedy 16
k_1x14x1 greedy 1 14 1 4.273694	k_1x14x1.greedy 0	k_1x14x1.greedy 15
k_1x14x2 greedy 1 14 2 7.878489	k_1x14x2.greedy 0	k_1x14x2.greedy 16
k_1x14x3 greedy 1 14 3 8.989563	k_1x14x3.greedy 0	k_1x14x3.greedy 17
k_1x1x1 greedy 1 1 1 2.364511	k_1x1x1.greedy 0	k_1x1x1.greedy 2
k_1x1x2 greedy 1 1 2 8.286836	k_1x1x2.greedy 0	k_1x1x2.greedy 3
k_1x1x3 greedy 1 1 3 10.136846	k_1x1x3.greedy 0	k_1x1x3.greedy 4
k_1x1x4 greedy 1 1 4 10.866470	k_1x1x4.greedy 0	k_1x1x4.greedy 5
k_1x1x5 greedy 1 1 5 10.769231	k_1x1x5.greedy 0	k_1x1x5.greedy 6
k_1x1x6 greedy 1 1 6 10.926829	k_1x1x6.greedy 0	k_1x1x6.greedy 7
k_1x1x7 greedy 1 1 7 11.106944	k_1x1x7.greedy 0	k_1x1x7.greedy 8
k_1x1x8 greedy 1 1 8 11.217768	k_1x1x8.greedy 0	k_1x1x8.greedy 9
k_1x2x1 greedy 1 2 1 3.530451	k_1x2x1.greedy 0	k_1x2x1.greedy 3
k_1x2x2 greedy 1 2 2 8.261194	k_1x2x2.greedy 0	k_1x2x2.greedy 4
k_1x2x3 greedy 1 2 3 10.336147	k_1x2x3.greedy 0	k_1x2x3.greedy 5
k_1x2x4 greedy 1 2 4 10.829027	k_1x2x4.greedy 0	k_1x2x4.greedy 6
k_1x2x5 greedy 1 2 5 10.773133	k_1x2x5.greedy 0	k_1x2x5.greedy 7
k_1x2x6 greedy 1 2 6 10.879574	k_1x2x6.greedy 0	k_1x2x6.greedy 8
k_1x2x7 greedy 1 2 7 10.924222	k_1x2x7.greedy 0	k_1x2x7.greedy 9
k_1x2x8 greedy 1 2 8 10.997678	k_1x2x8.greedy 0	k_1x2x8.greedy 10
k_1x3x1 greedy 1 3 1 4.369740	k_1x3x1.greedy 0	k_1x3x1.greedy 4
k_1x3x2 greedy 1 3 2 8.256560	k_1x3x2.greedy 0	k_1x3x2.greedy 5
k_1x3x3 greedy 1 3 3 10.060402	k_1x3x3.greedy 0	k_1x3x3.greedy 6
k_1x3x4 greedy 1 3 4 10.632396	k_1x3x4.greedy 0	k_1x3x4.greedy 7
k_1x3x5 greedy 1 3 5 10.654630	k_1x3x5.greedy 0	k_1x3x5.greedy 8
k_1x3x6 greedy 1 3 6 10.736391	k_1x3x6.greedy 0	k_1x3x6.greedy 9
k_1x3x7 greedy 1 3 7 10.658565	k_1x3x7.greedy 0	k_1x3x7.greedy 10
k_1x3x8 greedy 1 3 8 10.858893	k_1x3x8.greedy 0	k_1x3x8.greedy 11
k_1x4x1 greedy 1 4 1 4.353876	k_1x4x1.greedy 0	k_1x4x1.greedy 5
k_1x4x2 greedy 1 4 2 8.190397	k_1x4x2.greedy 0	k_1x4x2.greedy 6
k_1x4x3 greedy 1 4 3 9.967186	k_1x4x3.greedy 0	k_1x4x3.greedy 7
k_1x4x4 greedy 1 4 4 10.563947	k_1x4x4.greedy 0	k_1x4x4.greedy 8
k_1x4x5 greedy 1 4 5 10.570477	k_1x4x5.greedy 0	k_1x4x5.greedy 9
k_1x4x6 greedy 1 4 6 10.674500	k_1x4x6.greedy 0	k_1x4x6.greedy 10
k_1x4x7 greedy 1 4 7 10.879574	k_1x4x7.greedy 0	k_1x4x7.greedy 11
k_1x4x8 greedy 1 4 8 10.879914	k_1x4x8.greedy 0	k_1x4x8.greedy 12
k_1x5x1 greedy 1 5 1 4.363996	k_1x5x1.greedy 0	k_1x5x1.greedy 6
k_1x5x2 greedy 1 5 2 8.167034	k_1x5x2.greedy 0	k_1x5x2.greedy 7
k_1x5x3 greedy 1 5 3 10.000691	k_1x5x3.greedy 0	k_1x5x3.greedy 8
k_1x5x4 greedy 1 5 4 10.254505	k_1x5x4.greedy 0	k_1x5x4.greedy 9
k_1x5x5 greedy 1 5 5 10.549394	k_1x5x5.greedy 0	k_1x5x5.greedy 10
k_1x5x6 greedy 1 5 6 10.667103	k_1x5x6.greedy 0	k_1x5x6.greedy 11
k_1x5x7 greedy 1 5 7 11.674940	k_1x5x7.greedy 0	k_1x5x7.greedy 12
k_1x5x8 greedy 1 5 8 10.615181	k_1x5x8.greedy 0	k_1x5x8.greedy 13
k_1x6x1 greedy 1 6 1 4.324902	k_1x6x1.greedy 0	k_1x6x1.greedy 7
k_1x6x2 greedy 1 6 2 8.153550	k_1x6x2.greedy 0	k_1x6x2.greedy 8
k_1x6x3 greedy 1 6 3 9.548154	k_1x6x3.greedy 0	k_1x6x3.greedy 9
k_1x6x4 greedy 1 6 4 10.004215	k_1x6x4.greedy 0	k_1x6x4.greedy 10
k_1x6x5 greedy 1 6 5 10.671086	k_1x6x5.greedy 0	k_1x6x5.greedy 11
k_1x6x6 greedy 1 6 6 10.814933	k_1x6x6.greedy 0	k_1x6x6.greedy 12
k_1x6x7 greedy 1 6 7 11.281019	k_1x6x7.greedy 0	k_1x6x7.greedy 13
k_1x6x8 greedy 1 6 8 10.372492	k_1x6x8.greedy 0	k_1x6x8.greedy 14
k_1x7x1 greedy 1 7 1 4.363076	k_1x7x1.greedy 0	k_1x7x1.greedy 8
k_1x7x2 greedy 1 7 2 8.104861	k_1x7x2.greedy 0	k_1x7x2.greedy 9
k_1x7x3 greedy 1 7 3 9.344896	k_1x7x3.greedy 0	k_1x7x3.greedy 10
k_1x7x4 greedy 1 7 4 9.760235	k_1x7x4.greedy 0	k_1x7x4.greedy 11
k_1x7x5 greedy 1 7 5 11.250437	k_1x7x5.greedy 0	k_1x7x5.greedy 12
k_1x7x6 greedy 1 7 6 10.666961	k_1x7x6.greedy 0	k_1x7x6.greedy 13
k_1x7x7 greedy 1 7 7 11.162828	k_1x7x7.greedy 0	k_1x7x7.greedy 14
k_1x8x1 greedy 1 8 1 4.334831	k_1x8x1.greedy 0	k_1x8x1.greedy 9
k_1x8x2 greedy 1 8 2 8.084169	k_1x8x2.greedy 0	k_1x8x2.greedy 10
k_1x8x3 greedy 1 8 3 8.827884	k_1x8x3.greedy 0	k_1x8x3.greedy 11
k_1x8x4 greedy 1 8 4 8.151482	k_1x8x4.greedy 0	k_1x8x4.greedy 12
k_1x8x5 greedy 1 8 5 10.871437	k_1x8x5.greedy 0	k_1x8x5.greedy 13
k_1x8x6 greedy 1 8 6 10.462072	k_1x8x6.greedy 0	k_1x8x6.greedy 14
