k_10x1x1 greedy 10 1 1 22.080886	k_10x1x1.greedy 0	k_10x1x1.greedy 11	k_10x1x1 pbqp 10 1 1 22.218901	k_10x1x1.pbqp 0	k_10x1x1.pbqp 11
k_10x1x2 greedy 10 1 2 27.186877	k_10x1x2.greedy 0	k_10x1x2.greedy 32	k_10x1x2 pbqp 10 1 2 27.233665	k_10x1x2.pbqp 0	k_10x1x2.pbqp 32
k_10x1x3 greedy 10 1 3 11.909880	k_10x1x3.greedy 8	k_10x1x3.greedy 32	k_10x1x3 pbqp 10 1 3 19.991306	k_10x1x3.pbqp 6	k_10x1x3.pbqp 32
k_10x1x4 greedy 10 1 4 11.315349	k_10x1x4.greedy 19	k_10x1x4.greedy 32	k_10x1x4 pbqp 10 1 4 15.454603	k_10x1x4.pbqp 14	k_10x1x4.pbqp 32
k_10x2x1 greedy 10 2 1 22.010050	k_10x2x1.greedy 0	k_10x2x1.greedy 12	k_10x2x1 pbqp 10 2 1 21.926429	k_10x2x1.pbqp 0	k_10x2x1.pbqp 12
k_10x2x2 greedy 10 2 2 29.288913	k_10x2x2.greedy 0	k_10x2x2.greedy 32	k_10x2x2 pbqp 10 2 2 29.275803	k_10x2x2.pbqp 0	k_10x2x2.pbqp 32
k_10x2x3 greedy 10 2 3 8.816573	k_10x2x3.greedy 33	k_10x2x3.greedy 32	k_10x2x3 pbqp 10 2 3 15.808198	k_10x2x3.pbqp 9	k_10x2x3.pbqp 32
k_10x3x1 greedy 10 3 1 21.875811	k_10x3x1.greedy 0	k_10x3x1.greedy 13	k_10x3x1 pbqp 10 3 1 21.663415	k_10x3x1.pbqp 0	k_10x3x1.pbqp 13
k_10x3x2 greedy 10 3 2 27.460170	k_10x3x2.greedy 4	k_10x3x2.greedy 32	k_10x3x2 pbqp 10 3 2 27.242773	k_10x3x2.pbqp 4	k_10x3x2.pbqp 32
k_10x4x1 greedy 10 4 1 17.347148	k_10x4x1.greedy 0	k_10x4x1.greedy 14	k_10x4x1 pbqp 10 4 1 17.339790	k_10x4x1.pbqp 0	k_10x4x1.pbqp 14
k_11x1x1 greedy 11 1 1 21.545169	k_11x1x1.greedy 0	k_11x1x1.greedy 12	k_11x1x1 pbqp 11 1 1 21.506014	k_11x1x1.pbqp 0	k_11x1x1.pbqp 12
k_11x1x2 greedy 11 1 2 29.785064	k_11x1x2.greedy 0	k_11x1x2.greedy 25	k_11x1x2 pbqp 11 1 2 29.669119	k_11x1x2.pbqp 0	k_11x1x2.pbqp 25
k_11x1x3 greedy 11 1 3 13.542403	k_11x1x3.greedy 10	k_11x1x3.greedy 32	k_11x1x3 pbqp 11 1 3 16.863422	k_11x1x3.pbqp 9	k_11x1x3.pbqp 32
