k_10x1x1 icc 10 1 1 22.255189	k_10x1x1.icc 0	k_10x1x1.icc 11
k_10x1x2 icc 10 1 2 27.250306	k_10x1x2.icc 0	k_10x1x2.icc 32
k_10x1x3 icc 10 1 3 19.883806	k_10x1x3.icc 6	k_10x1x3.icc 32
k_10x1x4 icc 10 1 4 10.811001	k_10x1x4.icc 14	k_10x1x4.icc 32
k_10x2x1 icc 10 2 1 22.094809	k_10x2x1.icc 0	k_10x2x1.icc 12
k_10x2x2 icc 10 2 2 29.410954	k_10x2x2.icc 0	k_10x2x2.icc 32
k_10x2x3 icc 10 2 3 8.802862	k_10x2x3.icc 33	k_10x2x3.icc 32
k_10x3x1 icc 10 3 1 22.055020	k_10x3x1.icc 0	k_10x3x1.icc 13
k_10x3x2 icc 10 3 2 27.247330	k_10x3x2.icc 4	k_10x3x2.icc 32
k_10x4x1 icc 10 4 1 17.219580	k_10x4x1.icc 0	k_10x4x1.icc 14
k_11x1x1 icc 11 1 1 21.582913	k_11x1x1.icc 0	k_11x1x1.icc 12
k_11x1x2 icc 11 1 2 29.888006	k_11x1x2.icc 0	k_11x1x2.icc 25
k_11x1x3 icc 11 1 3 16.595807	k_11x1x3.icc 9	k_11x1x3.icc 32
k_11x1x4 icc 11 1 4 10.934734	k_11x1x4.icc 18	k_11x1x4.icc 32
k_11x2x1 icc 11 2 1 22.147360	k_11x2x1.icc 0	k_11x2x1.icc 13
k_11x2x2 icc 11 2 2 25.940583	k_11x2x2.icc 4	k_11x2x2.icc 32
k_11x2x3 icc 11 2 3 8.408167	k_11x2x3.icc 36	k_11x2x3.icc 32
k_11x3x1 icc 11 3 1 21.274817	k_11x3x1.icc 0	k_11x3x1.icc 14
k_11x3x2 icc 11 3 2 12.632766	k_11x3x2.icc 10	k_11x3x2.icc 32
k_11x4x1 icc 11 4 1 18.164119	k_11x4x1.icc 0	k_11x4x1.icc 15
k_12x1x1 icc 12 1 1 22.795539	k_12x1x1.icc 0	k_12x1x1.icc 13
k_12x1x2 icc 12 1 2 29.829437	k_12x1x2.icc 0	k_12x1x2.icc 27
k_12x1x3 icc 12 1 3 10.365112	k_12x1x3.icc 12	k_12x1x3.icc 32
k_12x1x4 icc 12 1 4 10.599026	k_12x1x4.icc 22	k_12x1x4.icc 32
k_12x2x1 icc 12 2 1 22.412793	k_12x2x1.icc 0	k_12x2x1.icc 14
k_12x2x2 icc 12 2 2 24.829052	k_12x2x2.icc 6	k_12x2x2.icc 32
k_12x3x1 icc 12 3 1 22.120416	k_12x3x1.icc 0	k_12x3x1.icc 15
k_12x4x1 icc 12 4 1 18.491462	k_12x4x1.icc 0	k_12x4x1.icc 16
k_13x1x1 icc 13 1 1 22.032026	k_13x1x1.icc 0	k_13x1x1.icc 14
k_13x1x2 icc 13 1 2 30.004728	k_13x1x2.icc 0	k_13x1x2.icc 29
k_13x1x3 icc 13 1 3 10.577675	k_13x1x3.icc 15	k_13x1x3.icc 32
k_13x2x1 icc 13 2 1 22.840443	k_13x2x1.icc 0	k_13x2x1.icc 15
k_13x2x2 icc 13 2 2 13.351715	k_13x2x2.icc 16	k_13x2x2.icc 32
k_13x3x1 icc 13 3 1 22.208191	k_13x3x1.icc 0	k_13x3x1.icc 16
k_14x1x1 icc 14 1 1 22.934656	k_14x1x1.icc 0	k_14x1x1.icc 15
k_14x1x2 icc 14 1 2 29.978131	k_14x1x2.icc 0	k_14x1x2.icc 31
k_14x1x3 icc 14 1 3 9.960176	k_14x1x3.icc 19	k_14x1x3.icc 32
k_14x2x1 icc 14 2 1 23.065212	k_14x2x1.icc 0	k_14x2x1.icc 16
k_14x2x2 icc 14 2 2 8.047810	k_14x2x2.icc 35	k_14x2x2.icc 32
k_14x3x1 icc 14 3 1 22.636258	k_14x3x1.icc 0	k_14x3x1.icc 17
k_1x10x1 icc 1 10 1 4.324661	k_1x10x1.icc 0	k_1x10x1.icc 11
k_1x10x2 icc 1 10 2 8.028659	k_1x10x2.icc 0	k_1x10x2.icc 12
k_1x10x3 icc 1 10 3 8.919113	k_1x10x3.icc 0	k_1x10x3.icc 13
k_1x10x4 icc 1 10 4 8.652544	k_1x10x4.icc 0	k_1x10x4.icc 14
k_1x11x1 icc 1 11 1 4.346697	k_1x11x1.icc 0	k_1x11x1.icc 12
k_1x11x2 icc 1 11 2 8.013078	k_1x11x2.icc 0	k_1x11x2.icc 13
k_1x11x3 icc 1 11 3 8.941762	k_1x11x3.icc 0	k_1x11x3.icc 14
k_1x11x4 icc 1 11 4 8.694892	k_1x11x4.icc 0	k_1x11x4.icc 15
k_1x12x1 icc 1 12 1 4.324212	k_1x12x1.icc 0	k_1x12x1.icc 13
k_1x12x2 icc 1 12 2 7.999751	k_1x12x2.icc 0	k_1x12x2.icc 14
