k_10x1x1 icc 10 1 1 44.933364	k_10x1x1.icc 0	k_10x1x1.icc 11
k_10x1x2 icc 10 1 2 55.796178	k_10x1x2.icc 0	k_10x1x2.icc 32
k_10x1x3 icc 10 1 3 49.358734	k_10x1x3.icc 6	k_10x1x3.icc 32
k_10x1x4 icc 10 1 4 34.115233	k_10x1x4.icc 14	k_10x1x4.icc 32
k_10x2x1 icc 10 2 1 45.009634	k_10x2x1.icc 0	k_10x2x1.icc 12
k_10x2x2 icc 10 2 2 59.682462	k_10x2x2.icc 0	k_10x2x2.icc 29
k_10x2x3 icc 10 2 3 27.093781	k_10x2x3.icc 33	k_10x2x3.icc 32
k_10x3x1 icc 10 3 1 45.486619	k_10x3x1.icc 0	k_10x3x1.icc 13
k_10x3x2 icc 10 3 2 55.622083	k_10x3x2.icc 6	k_10x3x2.icc 32
k_10x4x1 icc 10 4 1 40.032642	k_10x4x1.icc 0	k_10x4x1.icc 14
k_11x1x1 icc 11 1 1 43.832732	k_11x1x1.icc 0	k_11x1x1.icc 12
k_11x1x2 icc 11 1 2 58.278901	k_11x1x2.icc 0	k_11x1x2.icc 30
k_11x1x3 icc 11 1 3 38.763289	k_11x1x3.icc 9	k_11x1x3.icc 32
k_11x1x4 icc 11 1 4 32.677858	k_11x1x4.icc 18	k_11x1x4.icc 32
k_11x2x1 icc 11 2 1 45.328360	k_11x2x1.icc 0	k_11x2x1.icc 13
k_11x2x2 icc 11 2 2 59.336280	k_11x2x2.icc 0	k_11x2x2.icc 32
k_11x2x3 icc 11 2 3 26.616684	k_11x2x3.icc 36	k_11x2x3.icc 32
k_11x3x1 icc 11 3 1 44.740548	k_11x3x1.icc 0	k_11x3x1.icc 14
k_11x3x2 icc 11 3 2 54.299915	k_11x3x2.icc 9	k_11x3x2.icc 32
k_11x4x1 icc 11 4 1 41.126761	k_11x4x1.icc 0	k_11x4x1.icc 15
k_12x1x1 icc 12 1 1 46.187741	k_12x1x1.icc 0	k_12x1x1.icc 13
k_12x1x2 icc 12 1 2 54.412955	k_12x1x2.icc 2	k_12x1x2.icc 32
k_12x1x3 icc 12 1 3 35.038332	k_12x1x3.icc 12	k_12x1x3.icc 32
k_12x1x4 icc 12 1 4 30.319849	k_12x1x4.icc 22	k_12x1x4.icc 32
k_12x2x1 icc 12 2 1 45.913239	k_12x2x1.icc 0	k_12x2x1.icc 14
k_12x2x2 icc 12 2 2 57.188156	k_12x2x2.icc 2	k_12x2x2.icc 32
k_12x3x1 icc 12 3 1 46.305615	k_12x3x1.icc 0	k_12x3x1.icc 15
k_12x4x1 icc 12 4 1 41.804934	k_12x4x1.icc 0	k_12x4x1.icc 16
k_13x1x1 icc 13 1 1 44.792920	k_13x1x1.icc 0	k_13x1x1.icc 14
k_13x1x2 icc 13 1 2 51.106143	k_13x1x2.icc 4	k_13x1x2.icc 32
k_13x1x3 icc 13 1 3 32.404878	k_13x1x3.icc 15	k_13x1x3.icc 32
k_13x2x1 icc 13 2 1 47.136981	k_13x2x1.icc 0	k_13x2x1.icc 15
k_13x2x2 icc 13 2 2 28.478264	k_13x2x2.icc 28	k_13x2x2.icc 32
k_13x3x1 icc 13 3 1 46.905688	k_13x3x1.icc 0	k_13x3x1.icc 16
k_14x1x1 icc 14 1 1 47.063371	k_14x1x1.icc 0	k_14x1x1.icc 15
k_14x1x2 icc 14 1 2 42.024415	k_14x1x2.icc 7	k_14x1x2.icc 32
k_14x1x3 icc 14 1 3 31.513972	k_14x1x3.icc 19	k_14x1x3.icc 32
k_14x2x1 icc 14 2 1 47.777940	k_14x2x1.icc 0	k_14x2x1.icc 16
k_14x2x2 icc 14 2 2 26.817548	k_14x2x2.icc 34	k_14x2x2.icc 32
k_14x3x1 icc 14 3 1 47.697955	k_14x3x1.icc 0	k_14x3x1.icc 17
k_1x10x1 icc 1 10 1 8.641423	k_1x10x1.icc 0	k_1x10x1.icc 11
k_1x10x2 icc 1 10 2 16.001503	k_1x10x2.icc 0	k_1x10x2.icc 12
k_1x10x3 icc 1 10 3 20.477264	k_1x10x3.icc 0	k_1x10x3.icc 13
k_1x10x4 icc 1 10 4 18.812164	k_1x10x4.icc 0	k_1x10x4.icc 14
k_1x11x1 icc 1 11 1 8.703892	k_1x11x1.icc 0	k_1x11x1.icc 12
k_1x11x2 icc 1 11 2 15.997030	k_1x11x2.icc 0	k_1x11x2.icc 13
k_1x11x3 icc 1 11 3 21.061663	k_1x11x3.icc 0	k_1x11x3.icc 14
k_1x11x4 icc 1 11 4 18.607128	k_1x11x4.icc 0	k_1x11x4.icc 15
k_1x12x1 icc 1 12 1 8.666796	k_1x12x1.icc 0	k_1x12x1.icc 13
k_1x12x2 icc 1 12 2 15.957123	k_1x12x2.icc 0	k_1x12x2.icc 14
k_1x12x3 icc 1 12 3 20.853117	k_1x12x3.icc 0	k_1x12x3.icc 15
k_1x12x4 icc 1 12 4 18.353805	k_1x12x4.icc 0	k_1x12x4.icc 16
k_1x13x1 icc 1 13 1 8.577191	k_1x13x1.icc 0	k_1x13x1.icc 14
k_1x13x2 icc 1 13 2 15.873473	k_1x13x2.icc 0	k_1x13x2.icc 15
k_1x13x3 icc 1 13 3 20.404397	k_1x13x3.icc 0	k_1x13x3.icc 16
k_1x14x1 icc 1 14 1 8.557790	k_1x14x1.icc 0	k_1x14x1.icc 15
k_1x14x2 icc 1 14 2 15.780876	k_1x14x2.icc 0	k_1x14x2.icc 16
k_1x14x3 icc 1 14 3 20.046912	k_1x14x3.icc 0	k_1x14x3.icc 17
k_1x1x1 icc 1 1 1 7.056022	k_1x1x1.icc 0	k_1x1x1.icc 2
k_1x1x2 icc 1 1 2 16.496343	k_1x1x2.icc 0	k_1x1x2.icc 3
k_1x1x3 icc 1 1 3 20.672022	k_1x1x3.icc 0	k_1x1x3.icc 4
k_1x1x4 icc 1 1 4 21.760958	k_1x1x4.icc 0	k_1x1x4.icc 5
k_1x2x1 icc 1 2 1 8.736501	k_1x2x1.icc 0	k_1x2x1.icc 3
k_1x2x2 icc 1 2 2 16.466494	k_1x2x2.icc 0	k_1x2x2.icc 4
k_1x2x3 icc 1 2 3 21.269165	k_1x2x3.icc 0	k_1x2x3.icc 5
k_1x2x4 icc 1 2 4 21.723467	k_1x2x4.icc 0	k_1x2x4.icc 6
k_1x3x1 icc 1 3 1 8.733585	k_1x3x1.icc 0	k_1x3x1.icc 4
k_1x3x2 icc 1 3 2 16.446296	k_1x3x2.icc 0	k_1x3x2.icc 5
k_1x3x3 icc 1 3 3 20.417424	k_1x3x3.icc 0	k_1x3x3.icc 6
k_1x3x4 icc 1 3 4 21.332460	k_1x3x4.icc 0	k_1x3x4.icc 7
k_1x4x1 icc 1 4 1 8.729578	k_1x4x1.icc 0	k_1x4x1.icc 5
k_1x4x2 icc 1 4 2 16.393239	k_1x4x2.icc 0	k_1x4x2.icc 6
k_1x4x3 icc 1 4 3 20.760051	k_1x4x3.icc 0	k_1x4x3.icc 7
k_1x4x4 icc 1 4 4 20.994383	k_1x4x4.icc 0	k_1x4x4.icc 8
k_1x5x1 icc 1 5 1 8.721383	k_1x5x1.icc 0	k_1x5x1.icc 6
k_1x5x2 icc 1 5 2 16.321152	k_1x5x2.icc 0	k_1x5x2.icc 7
k_1x5x3 icc 1 5 3 20.663495	k_1x5x3.icc 0	k_1x5x3.icc 8
k_1x5x4 icc 1 5 4 20.629146	k_1x5x4.icc 0	k_1x5x4.icc 9
k_1x6x1 icc 1 6 1 8.690485	k_1x6x1.icc 0	k_1x6x1.icc 7
k_1x6x2 icc 1 6 2 16.235268	k_1x6x2.icc 0	k_1x6x2.icc 8
k_1x6x3 icc 1 6 3 20.425316	k_1x6x3.icc 0	k_1x6x3.icc 9
k_1x6x4 icc 1 6 4 20.211980	k_1x6x4.icc 0	k_1x6x4.icc 10
k_1x7x1 icc 1 7 1 8.700541	k_1x7x1.icc 0	k_1x7x1.icc 8
k_1x7x2 icc 1 7 2 16.209466	k_1x7x2.icc 0	k_1x7x2.icc 9
k_1x7x3 icc 1 7 3 20.207883	k_1x7x3.icc 0	k_1x7x3.icc 10
k_1x7x4 icc 1 7 4 19.931970	k_1x7x4.icc 0	k_1x7x4.icc 11
k_1x8x1 icc 1 8 1 8.675880	k_1x8x1.icc 0	k_1x8x1.icc 9
k_1x8x2 icc 1 8 2 16.133442	k_1x8x2.icc 0	k_1x8x2.icc 10
k_1x8x3 icc 1 8 3 20.332513	k_1x8x3.icc 0	k_1x8x3.icc 11
k_1x8x4 icc 1 8 4 19.275205	k_1x8x4.icc 0	k_1x8x4.icc 12
k_1x9x1 icc 1 9 1 8.654854	k_1x9x1.icc 0	k_1x9x1.icc 10
k_1x9x2 icc 1 9 2 16.048856	k_1x9x2.icc 0	k_1x9x2.icc 11
k_1x9x3 icc 1 9 3 20.442610	k_1x9x3.icc 0	k_1x9x3.icc 12
k_1x9x4 icc 1 9 4 19.063679	k_1x9x4.icc 0	k_1x9x4.icc 13
k_2x10x1 icc 2 10 1 16.219401	k_2x10x1.icc 0	k_2x10x1.icc 12
k_2x10x2 icc 2 10 2 31.010530	k_2x10x2.icc 0	k_2x10x2.icc 17
k_2x10x3 icc 2 10 3 35.064001	k_2x10x3.icc 0	k_2x10x3.icc 28
k_2x11x1 icc 2 11 1 16.199486	k_2x11x1.icc 0	k_2x11x1.icc 13
k_2x11x2 icc 2 11 2 31.126494	k_2x11x2.icc 0	k_2x11x2.icc 15
k_2x11x3 icc 2 11 3 35.047894	k_2x11x3.icc 0	k_2x11x3.icc 30
k_2x12x1 icc 2 12 1 16.247047	k_2x12x1.icc 0	k_2x12x1.icc 14
k_2x12x2 icc 2 12 2 30.483044	k_2x12x2.icc 0	k_2x12x2.icc 19
k_2x13x1 icc 2 13 1 16.275715	k_2x13x1.icc 0	k_2x13x1.icc 15
k_2x13x2 icc 2 13 2 31.034118	k_2x13x2.icc 0	k_2x13x2.icc 17
k_2x14x1 icc 2 14 1 16.106066	k_2x14x1.icc 0	k_2x14x1.icc 16
k_2x14x2 icc 2 14 2 31.032173	k_2x14x2.icc 0	k_2x14x2.icc 18
k_2x1x1 icc 2 1 1 16.563443	k_2x1x1.icc 0	k_2x1x1.icc 5
k_2x1x2 icc 2 1 2 31.060695	k_2x1x2.icc 0	k_2x1x2.icc 10
k_2x1x3 icc 2 1 3 37.937841	k_2x1x3.icc 0	k_2x1x3.icc 12
k_2x1x4 icc 2 1 4 39.189934	k_2x1x4.icc 0	k_2x1x4.icc 14
k_2x2x1 icc 2 2 1 16.535963	k_2x2x1.icc 0	k_2x2x1.icc 5
k_2x2x2 icc 2 2 2 27.577949	k_2x2x2.icc 0	k_2x2x2.icc 12
k_2x2x3 icc 2 2 3 37.067107	k_2x2x3.icc 0	k_2x2x3.icc 16
k_2x2x4 icc 2 2 4 38.763168	k_2x2x4.icc 0	k_2x2x4.icc 20
k_2x3x1 icc 2 3 1 16.490263	k_2x3x1.icc 0	k_2x3x1.icc 5
k_2x3x2 icc 2 3 2 27.713200	k_2x3x2.icc 0	k_2x3x2.icc 16
k_2x3x3 icc 2 3 3 36.347001	k_2x3x3.icc 0	k_2x3x3.icc 21
k_2x3x4 icc 2 3 4 37.859810	k_2x3x4.icc 0	k_2x3x4.icc 26
k_2x4x1 icc 2 4 1 16.403774	k_2x4x1.icc 0	k_2x4x1.icc 6
k_2x4x2 icc 2 4 2 27.977544	k_2x4x2.icc 0	k_2x4x2.icc 20
k_2x4x3 icc 2 4 3 35.664122	k_2x4x3.icc 0	k_2x4x3.icc 26
k_2x4x4 icc 2 4 4 35.825277	k_2x4x4.icc 0	k_2x4x4.icc 32
k_2x5x1 icc 2 5 1 16.442145	k_2x5x1.icc 0	k_2x5x1.icc 7
k_2x5x2 icc 2 5 2 29.819555	k_2x5x2.icc 0	k_2x5x2.icc 24
k_2x5x3 icc 2 5 3 33.584948	k_2x5x3.icc 0	k_2x5x3.icc 31
k_2x5x4 icc 2 5 4 39.167086	k_2x5x4.icc 0	k_2x5x4.icc 16
k_2x6x1 icc 2 6 1 16.442841	k_2x6x1.icc 0	k_2x6x1.icc 8
k_2x6x2 icc 2 6 2 29.715407	k_2x6x2.icc 0	k_2x6x2.icc 28
k_2x6x3 icc 2 6 3 35.007159	k_2x6x3.icc 0	k_2x6x3.icc 20
k_2x6x4 icc 2 6 4 38.838184	k_2x6x4.icc 0	k_2x6x4.icc 17
k_2x7x1 icc 2 7 1 16.276054	k_2x7x1.icc 0	k_2x7x1.icc 9
k_2x7x2 icc 2 7 2 28.441303	k_2x7x2.icc 0	k_2x7x2.icc 32
k_2x7x3 icc 2 7 3 35.144105	k_2x7x3.icc 0	k_2x7x3.icc 22
k_2x7x4 icc 2 7 4 39.325978	k_2x7x4.icc 0	k_2x7x4.icc 18
k_2x8x1 icc 2 8 1 16.337705	k_2x8x1.icc 0	k_2x8x1.icc 10
k_2x8x2 icc 2 8 2 31.630539	k_2x8x2.icc 0	k_2x8x2.icc 8
k_2x8x3 icc 2 8 3 34.999376	k_2x8x3.icc 0	k_2x8x3.icc 25
k_2x8x4 icc 2 8 4 40.916761	k_2x8x4.icc 0	k_2x8x4.icc 19
k_2x9x1 icc 2 9 1 16.304907	k_2x9x1.icc 0	k_2x9x1.icc 11
k_2x9x2 icc 2 9 2 31.640273	k_2x9x2.icc 0	k_2x9x2.icc 8
k_2x9x3 icc 2 9 3 35.075498	k_2x9x3.icc 0	k_2x9x3.icc 26
k_2x9x4 icc 2 9 4 40.491490	k_2x9x4.icc 0	k_2x9x4.icc 20
k_3x10x1 icc 3 10 1 23.612431	k_3x10x1.icc 0	k_3x10x1.icc 13
k_3x10x2 icc 3 10 2 40.418820	k_3x10x2.icc 0	k_3x10x2.icc 24
k_3x11x1 icc 3 11 1 22.174595	k_3x11x1.icc 0	k_3x11x1.icc 14
k_3x11x2 icc 3 11 2 31.853822	k_3x11x2.icc 0	k_3x11x2.icc 30
k_3x12x1 icc 3 12 1 20.290294	k_3x12x1.icc 0	k_3x12x1.icc 15
k_3x13x1 icc 3 13 1 20.365723	k_3x13x1.icc 0	k_3x13x1.icc 16
k_3x14x1 icc 3 14 1 20.891407	k_3x14x1.icc 0	k_3x14x1.icc 17
k_3x1x1 icc 3 1 1 23.620305	k_3x1x1.icc 0	k_3x1x1.icc 5
k_3x1x2 icc 3 1 2 43.029782	k_3x1x2.icc 0	k_3x1x2.icc 13
k_3x1x3 icc 3 1 3 48.706550	k_3x1x3.icc 0	k_3x1x3.icc 15
k_3x1x4 icc 3 1 4 52.407590	k_3x1x4.icc 0	k_3x1x4.icc 19
k_3x2x1 icc 3 2 1 23.603528	k_3x2x1.icc 0	k_3x2x1.icc 5
k_3x2x2 icc 3 2 2 40.612473	k_3x2x2.icc 0	k_3x2x2.icc 16
k_3x2x3 icc 3 2 3 45.523922	k_3x2x3.icc 0	k_3x2x3.icc 21
k_3x2x4 icc 3 2 4 48.558850	k_3x2x4.icc 0	k_3x2x4.icc 26
k_3x3x1 icc 3 3 1 23.854383	k_3x3x1.icc 0	k_3x3x1.icc 6
k_3x3x2 icc 3 3 2 40.875717	k_3x3x2.icc 0	k_3x3x2.icc 21
k_3x3x3 icc 3 3 3 44.345030	k_3x3x3.icc 0	k_3x3x3.icc 27
k_3x3x4 icc 3 3 4 51.940879	k_3x3x4.icc 0	k_3x3x4.icc 18
k_3x4x1 icc 3 4 1 23.931980	k_3x4x1.icc 0	k_3x4x1.icc 7
k_3x4x2 icc 3 4 2 38.279429	k_3x4x2.icc 0	k_3x4x2.icc 26
k_3x4x3 icc 3 4 3 48.319700	k_3x4x3.icc 0	k_3x4x3.icc 17
k_3x4x4 icc 3 4 4 51.973967	k_3x4x4.icc 0	k_3x4x4.icc 19
k_3x5x1 icc 3 5 1 23.842190	k_3x5x1.icc 0	k_3x5x1.icc 8
k_3x5x2 icc 3 5 2 37.063642	k_3x5x2.icc 0	k_3x5x2.icc 31
k_3x5x3 icc 3 5 3 47.316815	k_3x5x3.icc 0	k_3x5x3.icc 20
k_3x5x4 icc 3 5 4 51.523599	k_3x5x4.icc 0	k_3x5x4.icc 20
k_3x6x1 icc 3 6 1 23.638034	k_3x6x1.icc 0	k_3x6x1.icc 9
k_3x6x2 icc 3 6 2 41.384647	k_3x6x2.icc 0	k_3x6x2.icc 20
k_3x6x3 icc 3 6 3 46.564379	k_3x6x3.icc 0	k_3x6x3.icc 20
k_3x6x4 icc 3 6 4 51.323413	k_3x6x4.icc 0	k_3x6x4.icc 21
k_3x7x1 icc 3 7 1 23.638585	k_3x7x1.icc 0	k_3x7x1.icc 10
k_3x7x2 icc 3 7 2 41.339095	k_3x7x2.icc 0	k_3x7x2.icc 19
k_3x7x3 icc 3 7 3 46.868552	k_3x7x3.icc 0	k_3x7x3.icc 23
k_3x7x4 icc 3 7 4 52.273210	k_3x7x4.icc 0	k_3x7x4.icc 22
k_3x8x1 icc 3 8 1 23.554956	k_3x8x1.icc 0	k_3x8x1.icc 11
k_3x8x2 icc 3 8 2 35.729060	k_3x8x2.icc 0	k_3x8x2.icc 22
k_3x8x3 icc 3 8 3 48.389303	k_3x8x3.icc 0	k_3x8x3.icc 21
k_3x9x1 icc 3 9 1 23.655127	k_3x9x1.icc 0	k_3x9x1.icc 12
k_3x9x2 icc 3 9 2 40.695401	k_3x9x2.icc 0	k_3x9x2.icc 22
k_3x9x3 icc 3 9 3 47.388373	k_3x9x3.icc 0	k_3x9x3.icc 26
k_4x10x1 icc 4 10 1 23.901396	k_4x10x1.icc 0	k_4x10x1.icc 14
k_4x11x1 icc 4 11 1 24.724248	k_4x11x1.icc 0	k_4x11x1.icc 15
k_4x12x1 icc 4 12 1 24.411574	k_4x12x1.icc 0	k_4x12x1.icc 16
k_4x1x1 icc 4 1 1 30.830108	k_4x1x1.icc 0	k_4x1x1.icc 6
k_4x1x2 icc 4 1 2 46.088343	k_4x1x2.icc 0	k_4x1x2.icc 14
k_4x1x3 icc 4 1 3 55.884372	k_4x1x3.icc 0	k_4x1x3.icc 19
k_4x1x4 icc 4 1 4 57.507858	k_4x1x4.icc 0	k_4x1x4.icc 24
k_4x2x1 icc 4 2 1 30.836466	k_4x2x1.icc 0	k_4x2x1.icc 6
k_4x2x2 icc 4 2 2 45.632162	k_4x2x2.icc 0	k_4x2x2.icc 20
k_4x2x3 icc 4 2 3 50.108274	k_4x2x3.icc 0	k_4x2x3.icc 26
k_4x2x4 icc 4 2 4 52.782973	k_4x2x4.icc 0	k_4x2x4.icc 32
k_4x3x1 icc 4 3 1 30.716681	k_4x3x1.icc 0	k_4x3x1.icc 7
k_4x3x2 icc 4 3 2 45.415937	k_4x3x2.icc 0	k_4x3x2.icc 26
k_4x3x3 icc 4 3 3 55.721189	k_4x3x3.icc 0	k_4x3x3.icc 19
k_4x3x4 icc 4 3 4 59.148434	k_4x3x4.icc 0	k_4x3x4.icc 22
k_4x4x1 icc 4 4 1 30.299893	k_4x4x1.icc 0	k_4x4x1.icc 8
k_4x4x2 icc 4 4 2 41.908057	k_4x4x2.icc 0	k_4x4x2.icc 32
k_4x4x3 icc 4 4 3 55.808874	k_4x4x3.icc 0	k_4x4x3.icc 20
k_4x4x4 icc 4 4 4 58.922808	k_4x4x4.icc 0	k_4x4x4.icc 23
k_4x5x1 icc 4 5 1 30.940045	k_4x5x1.icc 0	k_4x5x1.icc 9
k_4x5x2 icc 4 5 2 48.294278	k_4x5x2.icc 0	k_4x5x2.icc 21
k_4x5x3 icc 4 5 3 55.685470	k_4x5x3.icc 0	k_4x5x3.icc 21
k_4x5x4 icc 4 5 4 58.967757	k_4x5x4.icc 0	k_4x5x4.icc 24
k_4x6x1 icc 4 6 1 29.704268	k_4x6x1.icc 0	k_4x6x1.icc 10
