k_10x1x1 icc 10 1 1 18.229654	k_10x1x1.icc 0	k_10x1x1.icc 11	k_10x1x1 icc 10 1 1 19.390873	k_10x1x1.icc 0	k_10x1x1.icc 11
k_10x1x2 icc 10 1 2 25.062457	k_10x1x2.icc 0	k_10x1x2.icc 32	k_10x1x2 icc 10 1 2 27.150764	k_10x1x2.icc 0	k_10x1x2.icc 32
k_10x1x3 icc 10 1 3 19.989677	k_10x1x3.icc 10	k_10x1x3.icc 32	k_10x1x3 icc 10 1 3 20.330442	k_10x1x3.icc 10	k_10x1x3.icc 32
k_10x1x4 icc 10 1 4 15.053163	k_10x1x4.icc 20	k_10x1x4.icc 32	k_10x1x4 icc 10 1 4 15.885753	k_10x1x4.icc 20	k_10x1x4.icc 32
k_10x2x1 icc 10 2 1 19.768688	k_10x2x1.icc 0	k_10x2x1.icc 12	k_10x2x1 icc 10 2 1 20.314726	k_10x2x1.icc 0	k_10x2x1.icc 12
k_10x2x2 icc 10 2 2 20.477970	k_10x2x2.icc 11	k_10x2x2.icc 32	k_10x2x2 icc 10 2 2 20.858473	k_10x2x2.icc 11	k_10x2x2.icc 32
k_10x2x3 icc 10 2 3 19.106276	k_10x2x3.icc 21	k_10x2x3.icc 32	k_10x2x3 icc 10 2 3 19.536958	k_10x2x3.icc 21	k_10x2x3.icc 32
k_10x3x1 icc 10 3 1 19.927409	k_10x3x1.icc 0	k_10x3x1.icc 13	k_10x3x1 icc 10 3 1 20.362121	k_10x3x1.icc 0	k_10x3x1.icc 13
k_10x3x2 icc 10 3 2 17.709802	k_10x3x2.icc 23	k_10x3x2.icc 32	k_10x3x2 icc 10 3 2 18.739789	k_10x3x2.icc 23	k_10x3x2.icc 32
k_10x4x1 icc 10 4 1 18.809095	k_10x4x1.icc 0	k_10x4x1.icc 14	k_10x4x1 icc 10 4 1 18.388530	k_10x4x1.icc 0	k_10x4x1.icc 14
k_11x1x1 icc 11 1 1 18.508016	k_11x1x1.icc 0	k_11x1x1.icc 12	k_11x1x1 icc 11 1 1 17.853655	k_11x1x1.icc 0	k_11x1x1.icc 12
k_11x1x2 icc 11 1 2 22.390520	k_11x1x2.icc 3	k_11x1x2.icc 32	k_11x1x2 icc 11 1 2 21.937750	k_11x1x2.icc 3	k_11x1x2.icc 32
