k_10x1x1 icc 10 1 1 22.255189	k_10x1x1.icc 0	k_10x1x1.icc 11	k_10x1x1 icc 10 1 1 21.666409	k_10x1x1.icc 0	k_10x1x1.icc 11
k_10x1x2 icc 10 1 2 27.250306	k_10x1x2.icc 0	k_10x1x2.icc 32	k_10x1x2 icc 10 1 2 29.023784	k_10x1x2.icc 0	k_10x1x2.icc 32
k_10x1x3 icc 10 1 3 19.883806	k_10x1x3.icc 6	k_10x1x3.icc 32	k_10x1x3 icc 10 1 3 19.753033	k_10x1x3.icc 10	k_10x1x3.icc 32
k_10x1x4 icc 10 1 4 10.811001	k_10x1x4.icc 14	k_10x1x4.icc 32	k_10x1x4 icc 10 1 4 13.204134	k_10x1x4.icc 20	k_10x1x4.icc 32
k_10x2x1 icc 10 2 1 22.094809	k_10x2x1.icc 0	k_10x2x1.icc 12	k_10x2x1 icc 10 2 1 22.649245	k_10x2x1.icc 0	k_10x2x1.icc 12
k_10x2x2 icc 10 2 2 29.410954	k_10x2x2.icc 0	k_10x2x2.icc 32	k_10x2x2 icc 10 2 2 21.518621	k_10x2x2.icc 11	k_10x2x2.icc 32
k_10x2x3 icc 10 2 3 8.802862	k_10x2x3.icc 33	k_10x2x3.icc 32	k_10x2x3 icc 10 2 3 19.788624	k_10x2x3.icc 21	k_10x2x3.icc 32
k_10x3x1 icc 10 3 1 22.055020	k_10x3x1.icc 0	k_10x3x1.icc 13	k_10x3x1 icc 10 3 1 23.368164	k_10x3x1.icc 0	k_10x3x1.icc 13
k_10x3x2 icc 10 3 2 27.247330	k_10x3x2.icc 4	k_10x3x2.icc 32	k_10x3x2 icc 10 3 2 18.020689	k_10x3x2.icc 23	k_10x3x2.icc 32
k_10x4x1 icc 10 4 1 17.219580	k_10x4x1.icc 0	k_10x4x1.icc 14	k_10x4x1 icc 10 4 1 21.334725	k_10x4x1.icc 0	k_10x4x1.icc 14
k_11x1x1 icc 11 1 1 21.582913	k_11x1x1.icc 0	k_11x1x1.icc 12	k_11x1x1 icc 11 1 1 21.434768	k_11x1x1.icc 0	k_11x1x1.icc 12
k_11x1x2 icc 11 1 2 29.888006	k_11x1x2.icc 0	k_11x1x2.icc 25	k_11x1x2 icc 11 1 2 25.139343	k_11x1x2.icc 3	k_11x1x2.icc 32
k_11x1x3 icc 11 1 3 16.595807	k_11x1x3.icc 9	k_11x1x3.icc 32	k_11x1x3 icc 11 1 3 15.560579	k_11x1x3.icc 14	k_11x1x3.icc 32
k_11x1x4 icc 11 1 4 10.934734	k_11x1x4.icc 18	k_11x1x4.icc 32	k_11x1x4 icc 11 1 4 12.760680	k_11x1x4.icc 25	k_11x1x4.icc 32
k_11x2x1 icc 11 2 1 22.147360	k_11x2x1.icc 0	k_11x2x1.icc 13	k_11x2x1 icc 11 2 1 23.010951	k_11x2x1.icc 0	k_11x2x1.icc 13
k_11x2x2 icc 11 2 2 25.940583	k_11x2x2.icc 4	k_11x2x2.icc 32	k_11x2x2 icc 11 2 2 19.187165	k_11x2x2.icc 15	k_11x2x2.icc 32
k_11x2x3 icc 11 2 3 8.408167	k_11x2x3.icc 36	k_11x2x3.icc 32	k_11x2x3 icc 11 2 3 19.233533	k_11x2x3.icc 26	k_11x2x3.icc 32
k_11x3x1 icc 11 3 1 21.274817	k_11x3x1.icc 0	k_11x3x1.icc 14	k_11x3x1 icc 11 3 1 23.183065	k_11x3x1.icc 0	k_11x3x1.icc 14
k_11x3x2 icc 11 3 2 12.632766	k_11x3x2.icc 10	k_11x3x2.icc 32	k_11x3x2 icc 11 3 2 16.541231	k_11x3x2.icc 29	k_11x3x2.icc 32
k_11x4x1 icc 11 4 1 18.164119	k_11x4x1.icc 0	k_11x4x1.icc 15	k_11x4x1 icc 11 4 1 21.771527	k_11x4x1.icc 0	k_11x4x1.icc 15
k_12x1x1 icc 12 1 1 22.795539	k_12x1x1.icc 0	k_12x1x1.icc 13	k_12x1x1 icc 12 1 1 22.338798	k_12x1x1.icc 0	k_12x1x1.icc 13
k_12x1x2 icc 12 1 2 29.829437	k_12x1x2.icc 0	k_12x1x2.icc 27	k_12x1x2 icc 12 1 2 21.700913	k_12x1x2.icc 6	k_12x1x2.icc 32
k_12x1x3 icc 12 1 3 10.365112	k_12x1x3.icc 12	k_12x1x3.icc 32	k_12x1x3 icc 12 1 3 13.848760	k_12x1x3.icc 18	k_12x1x3.icc 32
k_12x1x4 icc 12 1 4 10.599026	k_12x1x4.icc 22	k_12x1x4.icc 32	k_12x1x4 icc 12 1 4 13.213381	k_12x1x4.icc 30	k_12x1x4.icc 32
k_12x2x1 icc 12 2 1 22.412793	k_12x2x1.icc 0	k_12x2x1.icc 14	k_12x2x1 icc 12 2 1 23.275764	k_12x2x1.icc 0	k_12x2x1.icc 14
k_12x2x2 icc 12 2 2 24.829052	k_12x2x2.icc 6	k_12x2x2.icc 32	k_12x2x2 icc 12 2 2 18.474749	k_12x2x2.icc 19	k_12x2x2.icc 32
k_12x3x1 icc 12 3 1 22.120416	k_12x3x1.icc 0	k_12x3x1.icc 15	k_12x3x1 icc 12 3 1 23.922452	k_12x3x1.icc 0	k_12x3x1.icc 15
k_12x4x1 icc 12 4 1 18.491462	k_12x4x1.icc 0	k_12x4x1.icc 16	k_12x4x1 icc 12 4 1 22.478521	k_12x4x1.icc 0	k_12x4x1.icc 16
k_13x1x1 icc 13 1 1 22.032026	k_13x1x1.icc 0	k_13x1x1.icc 14	k_13x1x1 icc 13 1 1 21.880652	k_13x1x1.icc 0	k_13x1x1.icc 14
k_13x1x2 icc 13 1 2 30.004728	k_13x1x2.icc 0	k_13x1x2.icc 29	k_13x1x2 icc 13 1 2 18.640886	k_13x1x2.icc 9	k_13x1x2.icc 32
k_13x1x3 icc 13 1 3 10.577675	k_13x1x3.icc 15	k_13x1x3.icc 32	k_13x1x3 icc 13 1 3 13.368999	k_13x1x3.icc 22	k_13x1x3.icc 32
k_13x2x1 icc 13 2 1 22.840443	k_13x2x1.icc 0	k_13x2x1.icc 15	k_13x2x1 icc 13 2 1 23.454721	k_13x2x1.icc 0	k_13x2x1.icc 15
k_13x2x2 icc 13 2 2 13.351715	k_13x2x2.icc 16	k_13x2x2.icc 32	k_13x2x2 icc 13 2 2 17.302295	k_13x2x2.icc 23	k_13x2x2.icc 32
k_13x3x1 icc 13 3 1 22.208191	k_13x3x1.icc 0	k_13x3x1.icc 16	k_13x3x1 icc 13 3 1 23.838334	k_13x3x1.icc 0	k_13x3x1.icc 16
k_14x1x1 icc 14 1 1 22.934656	k_14x1x1.icc 0	k_14x1x1.icc 15	k_14x1x1 icc 14 1 1 22.404933	k_14x1x1.icc 0	k_14x1x1.icc 15
k_14x1x2 icc 14 1 2 29.978131	k_14x1x2.icc 0	k_14x1x2.icc 31	k_14x1x2 icc 14 1 2 16.085724	k_14x1x2.icc 12	k_14x1x2.icc 32
k_14x1x3 icc 14 1 3 9.960176	k_14x1x3.icc 19	k_14x1x3.icc 32	k_14x1x3 icc 14 1 3 12.881145	k_14x1x3.icc 26	k_14x1x3.icc 32
k_14x2x1 icc 14 2 1 23.065212	k_14x2x1.icc 0	k_14x2x1.icc 16	k_14x2x1 icc 14 2 1 23.634937	k_14x2x1.icc 0	k_14x2x1.icc 16
k_14x2x2 icc 14 2 2 8.047810	k_14x2x2.icc 35	k_14x2x2.icc 32	k_14x2x2 icc 14 2 2 16.204711	k_14x2x2.icc 27	k_14x2x2.icc 32
k_14x3x1 icc 14 3 1 22.636258	k_14x3x1.icc 0	k_14x3x1.icc 17	k_14x3x1 icc 14 3 1 24.206576	k_14x3x1.icc 0	k_14x3x1.icc 17
k_1x10x1 icc 1 10 1 4.324661	k_1x10x1.icc 0	k_1x10x1.icc 11	k_1x10x1 icc 1 10 1 6.586015	k_1x10x1.icc 0	k_1x10x1.icc 17
k_1x10x2 icc 1 10 2 8.028659	k_1x10x2.icc 0	k_1x10x2.icc 12	k_1x10x2 icc 1 10 2 8.927060	k_1x10x2.icc 0	k_1x10x2.icc 24
k_1x10x3 icc 1 10 3 8.919113	k_1x10x3.icc 0	k_1x10x3.icc 13	k_1x10x3 icc 1 10 3 8.778349	k_1x10x3.icc 0	k_1x10x3.icc 31
k_1x10x4 icc 1 10 4 8.652544	k_1x10x4.icc 0	k_1x10x4.icc 14	k_1x10x4 icc 1 10 4 9.863259	k_1x10x4.icc 0	k_1x10x4.icc 32
k_1x11x1 icc 1 11 1 4.346697	k_1x11x1.icc 0	k_1x11x1.icc 12	k_1x11x1 icc 1 11 1 6.720295	k_1x11x1.icc 0	k_1x11x1.icc 18
k_1x11x2 icc 1 11 2 8.013078	k_1x11x2.icc 0	k_1x11x2.icc 13	k_1x11x2 icc 1 11 2 8.945243	k_1x11x2.icc 0	k_1x11x2.icc 25
k_1x11x3 icc 1 11 3 8.941762	k_1x11x3.icc 0	k_1x11x3.icc 14	k_1x11x3 icc 1 11 3 9.070053	k_1x11x3.icc 0	k_1x11x3.icc 32
k_1x11x4 icc 1 11 4 8.694892	k_1x11x4.icc 0	k_1x11x4.icc 15	k_1x11x4 icc 1 11 4 9.813082	k_1x11x4.icc 0	k_1x11x4.icc 32
k_1x12x1 icc 1 12 1 4.324212	k_1x12x1.icc 0	k_1x12x1.icc 13	k_1x12x1 icc 1 12 1 6.728570	k_1x12x1.icc 0	k_1x12x1.icc 21
k_1x12x2 icc 1 12 2 7.999751	k_1x12x2.icc 0	k_1x12x2.icc 14	k_1x12x2 icc 1 12 2 8.417172	k_1x12x2.icc 0	k_1x12x2.icc 30
