k_10x1x1 openmp 10 1 1 12.280579	k_10x1x1.openmp 0	k_10x1x1.openmp 11
k_10x1x2 openmp 10 1 2 13.643911	k_10x1x2.openmp 0	k_10x1x2.openmp 32
k_10x1x3 openmp 10 1 3 10.184214	k_10x1x3.openmp 6	k_10x1x3.openmp 32
k_10x1x4 openmp 10 1 4 9.400042	k_10x1x4.openmp 19	k_10x1x4.openmp 32
k_10x2x1 openmp 10 2 1 8.331309	k_10x2x1.openmp 0	k_10x2x1.openmp 11
k_10x2x2 openmp 10 2 2 11.956130	k_10x2x2.openmp 0	k_10x2x2.openmp 23
k_10x2x3 openmp 10 2 3 8.466008	k_10x2x3.openmp 30	k_10x2x3.openmp 32
k_10x3x1 openmp 10 3 1 12.185232	k_10x3x1.openmp 0	k_10x3x1.openmp 13
k_10x3x2 openmp 10 3 2 13.837397	k_10x3x2.openmp 4	k_10x3x2.openmp 32
k_10x4x1 openmp 10 4 1 8.589664	k_10x4x1.openmp 0	k_10x4x1.openmp 13
k_11x1x1 openmp 11 1 1 10.583072	k_11x1x1.openmp 0	k_11x1x1.openmp 12
k_11x1x2 openmp 11 1 2 12.391463	k_11x1x2.openmp 0	k_11x1x2.openmp 30
k_11x1x3 openmp 11 1 3 8.659238	k_11x1x3.openmp 10	k_11x1x3.openmp 32
k_11x1x4 openmp 11 1 4 7.645734	k_11x1x4.openmp 25	k_11x1x4.openmp 32
k_11x2x1 openmp 11 2 1 7.069718	k_11x2x1.openmp 0	k_11x2x1.openmp 12
k_11x2x2 openmp 11 2 2 9.859998	k_11x2x2.openmp 3	k_11x2x2.openmp 32
k_11x2x3 openmp 11 2 3 7.274884	k_11x2x3.openmp 33	k_11x2x3.openmp 32
k_11x3x1 openmp 11 3 1 10.326924	k_11x3x1.openmp 0	k_11x3x1.openmp 14
k_11x3x2 openmp 11 3 2 11.586735	k_11x3x2.openmp 10	k_11x3x2.openmp 32
k_11x4x1 openmp 11 4 1 7.271140	k_11x4x1.openmp 0	k_11x4x1.openmp 14
k_12x1x1 openmp 12 1 1 11.119397	k_12x1x1.openmp 0	k_12x1x1.openmp 13
k_12x1x2 openmp 12 1 2 8.337115	k_12x1x2.openmp 2	k_12x1x2.openmp 32
k_12x1x3 openmp 12 1 3 7.688546	k_12x1x3.openmp 14	k_12x1x3.openmp 32
k_12x1x4 openmp 12 1 4 7.512577	k_12x1x4.openmp 31	k_12x1x4.openmp 32
k_12x2x1 openmp 12 2 1 7.332461	k_12x2x1.openmp 0	k_12x2x1.openmp 13
k_12x2x2 openmp 12 2 2 9.585743	k_12x2x2.openmp 0	k_12x2x2.openmp 28
k_12x3x1 openmp 12 3 1 10.798674	k_12x3x1.openmp 0	k_12x3x1.openmp 15
k_12x4x1 openmp 12 4 1 7.186692	k_12x4x1.openmp 0	k_12x4x1.openmp 15
k_13x1x1 openmp 13 1 1 11.384595	k_13x1x1.openmp 0	k_13x1x1.openmp 14
k_13x1x2 openmp 13 1 2 10.395042	k_13x1x2.openmp 6	k_13x1x2.openmp 32
k_13x1x3 openmp 13 1 3 7.886622	k_13x1x3.openmp 18	k_13x1x3.openmp 32
k_13x2x1 openmp 13 2 1 7.346927	k_13x2x1.openmp 0	k_13x2x1.openmp 14
k_13x2x2 openmp 13 2 2 8.132445	k_13x2x2.openmp 29	k_13x2x2.openmp 32
