k_10x1x1 pbqp 10 1 1 22.218901	k_10x1x1.pbqp 0	k_10x1x1.pbqp 11
k_10x1x2 pbqp 10 1 2 27.233665	k_10x1x2.pbqp 0	k_10x1x2.pbqp 32
k_10x1x3 pbqp 10 1 3 19.991306	k_10x1x3.pbqp 6	k_10x1x3.pbqp 32
k_10x1x4 pbqp 10 1 4 15.454603	k_10x1x4.pbqp 14	k_10x1x4.pbqp 32
k_10x2x1 pbqp 10 2 1 21.926429	k_10x2x1.pbqp 0	k_10x2x1.pbqp 12
k_10x2x2 pbqp 10 2 2 29.275803	k_10x2x2.pbqp 0	k_10x2x2.pbqp 32
k_10x2x3 pbqp 10 2 3 15.808198	k_10x2x3.pbqp 9	k_10x2x3.pbqp 32
k_10x3x1 pbqp 10 3 1 21.663415	k_10x3x1.pbqp 0	k_10x3x1.pbqp 13
k_10x3x2 pbqp 10 3 2 27.242773	k_10x3x2.pbqp 4	k_10x3x2.pbqp 32
k_10x4x1 pbqp 10 4 1 17.339790	k_10x4x1.pbqp 0	k_10x4x1.pbqp 14
k_11x1x1 pbqp 11 1 1 21.506014	k_11x1x1.pbqp 0	k_11x1x1.pbqp 12
k_11x1x2 pbqp 11 1 2 29.669119	k_11x1x2.pbqp 0	k_11x1x2.pbqp 25
k_11x1x3 pbqp 11 1 3 16.863422	k_11x1x3.pbqp 9	k_11x1x3.pbqp 32
k_11x1x4 pbqp 11 1 4 14.020734	k_11x1x4.pbqp 18	k_11x1x4.pbqp 32
k_11x2x1 pbqp 11 2 1 22.053948	k_11x2x1.pbqp 0	k_11x2x1.pbqp 13
k_11x2x2 pbqp 11 2 2 25.164666	k_11x2x2.pbqp 4	k_11x2x2.pbqp 32
k_11x2x3 pbqp 11 2 3 15.103448	k_11x2x3.pbqp 11	k_11x2x3.pbqp 32
k_11x3x1 pbqp 11 3 1 21.138772	k_11x3x1.pbqp 0	k_11x3x1.pbqp 14
k_11x3x2 pbqp 11 3 2 18.232588	k_11x3x2.pbqp 10	k_11x3x2.pbqp 32
k_11x4x1 pbqp 11 4 1 18.144330	k_11x4x1.pbqp 0	k_11x4x1.pbqp 15
k_12x1x1 pbqp 12 1 1 22.615831	k_12x1x1.pbqp 0	k_12x1x1.pbqp 13
k_12x1x2 pbqp 12 1 2 29.593702	k_12x1x2.pbqp 0	k_12x1x2.pbqp 27
k_12x1x3 pbqp 12 1 3 14.809209	k_12x1x3.pbqp 12	k_12x1x3.pbqp 32
k_12x1x4 pbqp 12 1 4 13.488040	k_12x1x4.pbqp 22	k_12x1x4.pbqp 32
k_12x2x1 pbqp 12 2 1 22.441501	k_12x2x1.pbqp 0	k_12x2x1.pbqp 14
k_12x2x2 pbqp 12 2 2 21.411082	k_12x2x2.pbqp 6	k_12x2x2.pbqp 32
k_12x3x1 pbqp 12 3 1 21.305428	k_12x3x1.pbqp 0	k_12x3x1.pbqp 15
k_12x4x1 pbqp 12 4 1 18.499133	k_12x4x1.pbqp 0	k_12x4x1.pbqp 16
k_13x1x1 pbqp 13 1 1 21.941064	k_13x1x1.pbqp 0	k_13x1x1.pbqp 14
k_13x1x2 pbqp 13 1 2 29.776719	k_13x1x2.pbqp 0	k_13x1x2.pbqp 29
k_13x1x3 pbqp 13 1 3 13.961688	k_13x1x3.pbqp 15	k_13x1x3.pbqp 32
