k_10x1x1 greedy 10 1 1 17.691864	k_10x1x1.greedy 0	k_10x1x1.greedy 14
k_10x1x2 greedy 10 1 2 8.316056	k_10x1x2.greedy 11	k_10x1x2.greedy 16
k_10x2x1 greedy 10 2 1 18.099841	k_10x2x1.greedy 0	k_10x2x1.greedy 15
k_11x1x1 greedy 11 1 1 18.340437	k_11x1x1.greedy 0	k_11x1x1.greedy 15
k_12x1x1 greedy 12 1 1 18.403361	k_12x1x1.greedy 0	k_12x1x1.greedy 16
k_13x1x1 greedy 13 1 1 17.752761	k_13x1x1.greedy 0	k_13x1x1.greedy 16
k_14x1x1 greedy 14 1 1 17.473419	k_14x1x1.greedy 0	k_14x1x1.greedy 16
k_1x10x1 greedy 1 10 1 2.971179	k_1x10x1.greedy 0	k_1x10x1.greedy 11
k_1x10x2 greedy 1 10 2 5.475877	k_1x10x2.greedy 0	k_1x10x2.greedy 12
k_1x11x1 greedy 1 11 1 2.967588	k_1x11x1.greedy 0	k_1x11x1.greedy 12
k_1x12x1 greedy 1 12 1 2.962184	k_1x12x1.greedy 0	k_1x12x1.greedy 13
k_1x13x1 greedy 1 13 1 2.961395	k_1x13x1.greedy 0	k_1x13x1.greedy 14
k_1x14x1 greedy 1 14 1 2.963326	k_1x14x1.greedy 0	k_1x14x1.greedy 15
k_1x1x1 greedy 1 1 1 2.887149	k_1x1x1.greedy 0	k_1x1x1.greedy 2
k_1x1x2 greedy 1 1 2 5.650189	k_1x1x2.greedy 0	k_1x1x2.greedy 3
k_1x1x3 greedy 1 1 3 8.469796	k_1x1x3.greedy 0	k_1x1x3.greedy 4
k_1x1x4 greedy 1 1 4 10.798968	k_1x1x4.greedy 0	k_1x1x4.greedy 5
k_1x1x5 greedy 1 1 5 8.012348	k_1x1x5.greedy 0	k_1x1x5.greedy 6
k_1x1x6 greedy 1 1 6 8.504578	k_1x1x6.greedy 0	k_1x1x6.greedy 7
k_1x1x7 greedy 1 1 7 8.501328	k_1x1x7.greedy 0	k_1x1x7.greedy 8
k_1x1x8 greedy 1 1 8 9.032695	k_1x1x8.greedy 0	k_1x1x8.greedy 9
k_1x2x1 greedy 1 2 1 2.968613	k_1x2x1.greedy 0	k_1x2x1.greedy 3
k_1x2x2 greedy 1 2 2 5.539207	k_1x2x2.greedy 0	k_1x2x2.greedy 4
k_1x2x3 greedy 1 2 3 8.469705	k_1x2x3.greedy 0	k_1x2x3.greedy 5
k_1x2x4 greedy 1 2 4 10.681582	k_1x2x4.greedy 0	k_1x2x4.greedy 6
k_1x2x5 greedy 1 2 5 8.241209	k_1x2x5.greedy 0	k_1x2x5.greedy 7
k_1x2x6 greedy 1 2 6 9.115674	k_1x2x6.greedy 0	k_1x2x6.greedy 8
k_1x2x7 greedy 1 2 7 8.679981	k_1x2x7.greedy 0	k_1x2x7.greedy 9
k_1x2x8 greedy 1 2 8 9.286952	k_1x2x8.greedy 0	k_1x2x8.greedy 10
k_1x3x1 greedy 1 3 1 2.970730	k_1x3x1.greedy 0	k_1x3x1.greedy 4
k_1x3x2 greedy 1 3 2 5.752872	k_1x3x2.greedy 0	k_1x3x2.greedy 5
k_1x3x3 greedy 1 3 3 8.554154	k_1x3x3.greedy 0	k_1x3x3.greedy 6
k_1x3x4 greedy 1 3 4 10.613236	k_1x3x4.greedy 0	k_1x3x4.greedy 7
k_1x3x5 greedy 1 3 5 8.357321	k_1x3x5.greedy 0	k_1x3x5.greedy 8
k_1x3x6 greedy 1 3 6 9.276507	k_1x3x6.greedy 0	k_1x3x6.greedy 9
