k_10x1x1 greedy 10 1 1 17.653028	k_10x1x1.greedy 0	k_10x1x1.greedy 16
k_10x1x2 greedy 10 1 2 12.808522	k_10x1x2.greedy 9	k_10x1x2.greedy 16
k_10x2x1 greedy 10 2 1 16.783619	k_10x2x1.greedy 1	k_10x2x1.greedy 16
k_11x1x1 greedy 11 1 1 16.135781	k_11x1x1.greedy 4	k_11x1x1.greedy 16
k_12x1x1 greedy 12 1 1 15.120207	k_12x1x1.greedy 4	k_12x1x1.greedy 16
k_13x1x1 greedy 13 1 1 14.778129	k_13x1x1.greedy 7	k_13x1x1.greedy 16
k_14x1x1 greedy 14 1 1 14.358704	k_14x1x1.greedy 10	k_14x1x1.greedy 16
k_1x10x1 greedy 1 10 1 2.955070	k_1x10x1.greedy 0	k_1x10x1.greedy 11
k_1x10x2 greedy 1 10 2 5.347734	k_1x10x2.greedy 0	k_1x10x2.greedy 12
k_1x11x1 greedy 1 11 1 2.953984	k_1x11x1.greedy 0	k_1x11x1.greedy 12
k_1x12x1 greedy 1 12 1 2.952616	k_1x12x1.greedy 0	k_1x12x1.greedy 13
k_1x13x1 greedy 1 13 1 2.953115	k_1x13x1.greedy 0	k_1x13x1.greedy 14
k_1x14x1 greedy 1 14 1 2.952514	k_1x14x1.greedy 0	k_1x14x1.greedy 15
k_1x1x10 greedy 1 1 10 11.009224	k_1x1x10.greedy 0	k_1x1x10.greedy 11
k_1x1x11 greedy 1 1 11 11.042375	k_1x1x11.greedy 0	k_1x1x11.greedy 12
k_1x1x12 greedy 1 1 12 11.054718	k_1x1x12.greedy 0	k_1x1x12.greedy 13
k_1x1x13 greedy 1 1 13 11.079457	k_1x1x13.greedy 0	k_1x1x13.greedy 14
k_1x1x14 greedy 1 1 14 11.080870	k_1x1x14.greedy 0	k_1x1x14.greedy 15
k_1x1x1 greedy 1 1 1 2.950069	k_1x1x1.greedy 0	k_1x1x1.greedy 2
k_1x1x2 greedy 1 1 2 5.659570	k_1x1x2.greedy 0	k_1x1x2.greedy 3
k_1x1x3 greedy 1 1 3 9.021378	k_1x1x3.greedy 0	k_1x1x3.greedy 4
k_1x1x4 greedy 1 1 4 10.313974	k_1x1x4.greedy 0	k_1x1x4.greedy 5
k_1x1x5 greedy 1 1 5 8.048564	k_1x1x5.greedy 0	k_1x1x5.greedy 6
k_1x1x6 greedy 1 1 6 8.576224	k_1x1x6.greedy 0	k_1x1x6.greedy 7
k_1x1x7 greedy 1 1 7 8.527532	k_1x1x7.greedy 0	k_1x1x7.greedy 8
k_1x1x8 greedy 1 1 8 8.997515	k_1x1x8.greedy 0	k_1x1x8.greedy 9
k_1x1x9 greedy 1 1 9 10.981457	k_1x1x9.greedy 0	k_1x1x9.greedy 10
k_1x2x10 greedy 1 2 10 10.778104	k_1x2x10.greedy 0	k_1x2x10.greedy 12
k_1x2x1 greedy 1 2 1 2.957012	k_1x2x1.greedy 0	k_1x2x1.greedy 3
k_1x2x2 greedy 1 2 2 5.667815	k_1x2x2.greedy 0	k_1x2x2.greedy 4
k_1x2x3 greedy 1 2 3 9.011187	k_1x2x3.greedy 0	k_1x2x3.greedy 5
k_1x2x4 greedy 1 2 4 10.129291	k_1x2x4.greedy 0	k_1x2x4.greedy 6
k_1x2x5 greedy 1 2 5 8.403238	k_1x2x5.greedy 0	k_1x2x5.greedy 7
k_1x2x6 greedy 1 2 6 9.588975	k_1x2x6.greedy 0	k_1x2x6.greedy 8
k_1x2x7 greedy 1 2 7 8.705314	k_1x2x7.greedy 0	k_1x2x7.greedy 9
k_1x2x8 greedy 1 2 8 9.830893	k_1x2x8.greedy 0	k_1x2x8.greedy 10
k_1x2x9 greedy 1 2 9 10.638907	k_1x2x9.greedy 0	k_1x2x9.greedy 11
k_1x3x1 greedy 1 3 1 2.959571	k_1x3x1.greedy 0	k_1x3x1.greedy 4
k_1x3x2 greedy 1 3 2 5.246710	k_1x3x2.greedy 0	k_1x3x2.greedy 5
k_1x3x3 greedy 1 3 3 9.059458	k_1x3x3.greedy 0	k_1x3x3.greedy 6
k_1x3x4 greedy 1 3 4 9.807156	k_1x3x4.greedy 0	k_1x3x4.greedy 7
k_1x3x5 greedy 1 3 5 8.456393	k_1x3x5.greedy 0	k_1x3x5.greedy 8
k_1x3x6 greedy 1 3 6 9.588697	k_1x3x6.greedy 0	k_1x3x6.greedy 9
k_1x3x7 greedy 1 3 7 8.958064	k_1x3x7.greedy 0	k_1x3x7.greedy 10
k_1x4x1 greedy 1 4 1 2.957313	k_1x4x1.greedy 0	k_1x4x1.greedy 5
k_1x4x2 greedy 1 4 2 5.609756	k_1x4x2.greedy 0	k_1x4x2.greedy 6
k_1x4x3 greedy 1 4 3 8.977874	k_1x4x3.greedy 0	k_1x4x3.greedy 7
k_1x4x4 greedy 1 4 4 10.166684	k_1x4x4.greedy 0	k_1x4x4.greedy 8
k_1x4x5 greedy 1 4 5 8.444827	k_1x4x5.greedy 0	k_1x4x5.greedy 9
k_1x5x1 greedy 1 5 1 2.952898	k_1x5x1.greedy 0	k_1x5x1.greedy 6
k_1x5x2 greedy 1 5 2 5.615463	k_1x5x2.greedy 0	k_1x5x2.greedy 7
k_1x5x3 greedy 1 5 3 9.047130	k_1x5x3.greedy 0	k_1x5x3.greedy 8
k_1x5x4 greedy 1 5 4 9.617596	k_1x5x4.greedy 0	k_1x5x4.greedy 9
k_1x6x1 greedy 1 6 1 2.956870	k_1x6x1.greedy 0	k_1x6x1.greedy 7
k_1x6x2 greedy 1 6 2 5.453152	k_1x6x2.greedy 0	k_1x6x2.greedy 8
k_1x6x3 greedy 1 6 3 9.001734	k_1x6x3.greedy 0	k_1x6x3.greedy 9
k_1x7x1 greedy 1 7 1 2.957278	k_1x7x1.greedy 0	k_1x7x1.greedy 8
k_1x7x2 greedy 1 7 2 5.502054	k_1x7x2.greedy 0	k_1x7x2.greedy 9
k_1x7x3 greedy 1 7 3 8.993602	k_1x7x3.greedy 0	k_1x7x3.greedy 10
k_1x8x1 greedy 1 8 1 2.953724	k_1x8x1.greedy 0	k_1x8x1.greedy 9
k_1x8x2 greedy 1 8 2 5.585892	k_1x8x2.greedy 0	k_1x8x2.greedy 10
k_1x9x1 greedy 1 9 1 2.956760	k_1x9x1.greedy 0	k_1x9x1.greedy 10
k_1x9x2 greedy 1 9 2 5.483398	k_1x9x2.greedy 0	k_1x9x2.greedy 11
k_2x10x1 greedy 2 10 1 4.991316	k_2x10x1.greedy 0	k_2x10x1.greedy 7
k_2x1x10 greedy 2 1 10 6.605734	k_2x1x10.greedy 17	k_2x1x10.greedy 16
k_2x1x1 greedy 2 1 1 5.010907	k_2x1x1.greedy 0	k_2x1x1.greedy 7
k_2x1x2 greedy 2 1 2 9.825262	k_2x1x2.greedy 0	k_2x1x2.greedy 10
k_2x1x3 greedy 2 1 3 14.511892	k_2x1x3.greedy 0	k_2x1x3.greedy 13
k_2x1x4 greedy 2 1 4 17.955357	k_2x1x4.greedy 0	k_2x1x4.greedy 16
k_2x1x5 greedy 2 1 5 14.263782	k_2x1x5.greedy 0	k_2x1x5.greedy 16
k_2x1x6 greedy 2 1 6 9.344111	k_2x1x6.greedy 5	k_2x1x6.greedy 16
k_2x1x7 greedy 2 1 7 7.781836	k_2x1x7.greedy 7	k_2x1x7.greedy 16
k_2x1x8 greedy 2 1 8 7.167607	k_2x1x8.greedy 11	k_2x1x8.greedy 16
k_2x1x9 greedy 2 1 9 7.369270	k_2x1x9.greedy 14	k_2x1x9.greedy 16
k_2x2x1 greedy 2 2 1 5.036615	k_2x2x1.greedy 0	k_2x2x1.greedy 8
k_2x2x2 greedy 2 2 2 8.315281	k_2x2x2.greedy 0	k_2x2x2.greedy 13
k_2x2x3 greedy 2 2 3 14.671392	k_2x2x3.greedy 0	k_2x2x3.greedy 16
k_2x2x4 greedy 2 2 4 15.826510	k_2x2x4.greedy 3	k_2x2x4.greedy 16
k_2x2x5 greedy 2 2 5 11.114610	k_2x2x5.greedy 11	k_2x2x5.greedy 16
k_2x2x6 greedy 2 2 6 8.729311	k_2x2x6.greedy 12	k_2x2x6.greedy 16
k_2x2x7 greedy 2 2 7 8.179432	k_2x2x7.greedy 15	k_2x2x7.greedy 16
k_2x3x1 greedy 2 3 1 5.268161	k_2x3x1.greedy 0	k_2x3x1.greedy 11
k_2x3x2 greedy 2 3 2 8.906935	k_2x3x2.greedy 0	k_2x3x2.greedy 16
k_2x3x3 greedy 2 3 3 14.182594	k_2x3x3.greedy 0	k_2x3x3.greedy 16
k_2x3x4 greedy 2 3 4 13.897796	k_2x3x4.greedy 12	k_2x3x4.greedy 16
