v_10x10 greedy 10 10 9.512311	v_10x10.greedy 0	v_10x10.greedy 20
v_10x11 greedy 10 11 9.445472	v_10x11.greedy 0	v_10x11.greedy 21
v_10x12 greedy 10 12 9.493460	v_10x12.greedy 0	v_10x12.greedy 22
v_10x13 greedy 10 13 9.682090	v_10x13.greedy 0	v_10x13.greedy 23
v_10x14 greedy 10 14 9.269862	v_10x14.greedy 0	v_10x14.greedy 24
v_10x15 greedy 10 15 9.769946	v_10x15.greedy 0	v_10x15.greedy 25
v_10x16 greedy 10 16 8.784486	v_10x16.greedy 0	v_10x16.greedy 26
v_10x17 greedy 10 17 9.404656	v_10x17.greedy 0	v_10x17.greedy 27
v_10x18 greedy 10 18 9.532502	v_10x18.greedy 0	v_10x18.greedy 28
v_10x19 greedy 10 19 9.574350	v_10x19.greedy 0	v_10x19.greedy 29
v_10x1 greedy 10 1 4.197135	v_10x1.greedy 0	v_10x1.greedy 11
v_10x20 greedy 10 20 9.359906	v_10x20.greedy 0	v_10x20.greedy 30
v_10x21 greedy 10 21 9.816393	v_10x21.greedy 0	v_10x21.greedy 31
v_10x22 greedy 10 22 9.892318	v_10x22.greedy 0	v_10x22.greedy 32
v_10x23 greedy 10 23 10.129744	v_10x23.greedy 0	v_10x23.greedy 24
v_10x24 greedy 10 24 10.091426	v_10x24.greedy 0	v_10x24.greedy 25
v_10x25 greedy 10 25 10.307788	v_10x25.greedy 0	v_10x25.greedy 26
v_10x26 greedy 10 26 10.151800	v_10x26.greedy 0	v_10x26.greedy 27
v_10x27 greedy 10 27 10.446211	v_10x27.greedy 0	v_10x27.greedy 28
v_10x28 greedy 10 28 10.254679	v_10x28.greedy 0	v_10x28.greedy 29
v_10x29 greedy 10 29 10.401438	v_10x29.greedy 0	v_10x29.greedy 30
v_10x2 greedy 10 2 7.431297	v_10x2.greedy 0	v_10x2.greedy 12
v_10x30 greedy 10 30 10.437511	v_10x30.greedy 0	v_10x30.greedy 31
v_10x31 greedy 10 31 10.290371	v_10x31.greedy 0	v_10x31.greedy 32
v_10x3 greedy 10 3 8.391256	v_10x3.greedy 0	v_10x3.greedy 13
v_10x4 greedy 10 4 8.143823	v_10x4.greedy 0	v_10x4.greedy 14
v_10x5 greedy 10 5 8.970787	v_10x5.greedy 0	v_10x5.greedy 15
v_10x6 greedy 10 6 9.069979	v_10x6.greedy 0	v_10x6.greedy 16
v_10x7 greedy 10 7 8.612729	v_10x7.greedy 0	v_10x7.greedy 17
v_10x8 greedy 10 8 8.404211	v_10x8.greedy 0	v_10x8.greedy 18
v_10x9 greedy 10 9 9.563798	v_10x9.greedy 0	v_10x9.greedy 19
v_11x10 greedy 11 10 9.523810	v_11x10.greedy 0	v_11x10.greedy 21
v_11x11 greedy 11 11 9.540575	v_11x11.greedy 0	v_11x11.greedy 22
v_11x12 greedy 11 12 9.262514	v_11x12.greedy 0	v_11x12.greedy 23
v_11x13 greedy 11 13 9.640235	v_11x13.greedy 0	v_11x13.greedy 24
