mb_10 icc 10 1.688615	mb_10.icc 11	mb_10.icc 23
mb_11 icc 11 1.680351	mb_11.icc 15	mb_11.icc 25
mb_12 icc 12 1.667411	mb_12.icc 19	mb_12.icc 27
mb_13 icc 13 1.660545	mb_13.icc 23	mb_13.icc 29
mb_14 icc 14 1.646888	mb_14.icc 27	mb_14.icc 31
mb_15 icc 15 1.647111	mb_15.icc 31	mb_15.icc 32
mb_16 icc 16 1.642944	mb_16.icc 35	mb_16.icc 32
mb_17 icc 17 1.612633	mb_17.icc 39	mb_17.icc 32
mb_18 icc 18 1.587074	mb_18.icc 43	mb_18.icc 32
mb_19 icc 19 1.531662	mb_19.icc 47	mb_19.icc 32
mb_1 icc 1 1.027111	mb_1.icc 0	mb_1.icc 8
mb_20 icc 20 1.560364	mb_20.icc 51	mb_20.icc 32
mb_21 icc 21 1.534266	mb_21.icc 55	mb_21.icc 32
mb_22 icc 22 1.520511	mb_22.icc 59	mb_22.icc 32
mb_23 icc 23 1.525985	mb_23.icc 63	mb_23.icc 32
mb_24 icc 24 1.507448	mb_24.icc 67	mb_24.icc 32
mb_25 icc 25 1.502296	mb_25.icc 71	mb_25.icc 32
mb_26 icc 26 1.487805	mb_26.icc 75	mb_26.icc 32
mb_27 icc 27 1.472314	mb_27.icc 79	mb_27.icc 32
mb_28 icc 28 1.481256	mb_28.icc 83	mb_28.icc 32
mb_29 icc 29 1.458678	mb_29.icc 87	mb_29.icc 32
mb_2 icc 2 1.268067	mb_2.icc 0	mb_2.icc 11
mb_30 icc 30 1.476373	mb_30.icc 91	mb_30.icc 32
mb_31 icc 31 1.459522	mb_31.icc 95	mb_31.icc 32
mb_3 icc 3 1.337782	mb_3.icc 0	mb_3.icc 13
mb_4 icc 4 1.321363	mb_4.icc 0	mb_4.icc 16
mb_5 icc 5 1.330635	mb_5.icc 0	mb_5.icc 18
mb_6 icc 6 1.710859	mb_6.icc 0	mb_6.icc 19
mb_7 icc 7 1.724563	mb_7.icc 0	mb_7.icc 20
mb_8 icc 8 1.721918	mb_8.icc 3	mb_8.icc 20
mb_9 icc 9 1.683602	mb_9.icc 7	mb_9.icc 21
