mb_10 icc 10 1.659298	mb_10.icc 11	mb_10.icc 23
mb_11 icc 11 1.665431	mb_11.icc 15	mb_11.icc 25
mb_12 icc 12 1.650435	mb_12.icc 19	mb_12.icc 27
mb_13 icc 13 1.620700	mb_13.icc 23	mb_13.icc 29
mb_14 icc 14 1.612343	mb_14.icc 27	mb_14.icc 31
mb_15 icc 15 1.607143	mb_15.icc 31	mb_15.icc 32
mb_16 icc 16 1.615470	mb_16.icc 35	mb_16.icc 32
mb_17 icc 17 1.588214	mb_17.icc 39	mb_17.icc 32
mb_18 icc 18 1.565123	mb_18.icc 43	mb_18.icc 32
mb_19 icc 19 1.548250	mb_19.icc 47	mb_19.icc 32
mb_1 icc 1 0.638506	mb_1.icc 0	mb_1.icc 8
mb_20 icc 20 1.563734	mb_20.icc 51	mb_20.icc 32
mb_21 icc 21 1.533183	mb_21.icc 55	mb_21.icc 32
mb_22 icc 22 1.512898	mb_22.icc 59	mb_22.icc 32
mb_23 icc 23 1.519867	mb_23.icc 63	mb_23.icc 32
mb_24 icc 24 1.497742	mb_24.icc 67	mb_24.icc 32
mb_25 icc 25 1.477760	mb_25.icc 71	mb_25.icc 32
mb_26 icc 26 1.474268	mb_26.icc 75	mb_26.icc 32
mb_27 icc 27 1.471618	mb_27.icc 79	mb_27.icc 32
mb_28 icc 28 1.474761	mb_28.icc 83	mb_28.icc 32
mb_29 icc 29 1.433897	mb_29.icc 87	mb_29.icc 32
mb_2 icc 2 0.855064	mb_2.icc 0	mb_2.icc 11
mb_30 icc 30 1.451682	mb_30.icc 91	mb_30.icc 32
mb_31 icc 31 1.442645	mb_31.icc 95	mb_31.icc 32
mb_3 icc 3 0.845899	mb_3.icc 0	mb_3.icc 13
mb_4 icc 4 1.233523	mb_4.icc 0	mb_4.icc 16
mb_5 icc 5 1.244661	mb_5.icc 0	mb_5.icc 18
mb_6 icc 6 1.244021	mb_6.icc 0	mb_6.icc 20
mb_7 icc 7 1.617919	mb_7.icc 0	mb_7.icc 20
mb_8 icc 8 1.689849	mb_8.icc 3	mb_8.icc 20
mb_9 icc 9 1.675806	mb_9.icc 7	mb_9.icc 21
